Algorithm Performed: IDA*
Time Elapsed: 39.22 sec
Expanded Nodes: 5345
Memory Usage at peak: 144.6540 KB
Solution Steps: 33 steps

01: 4 1 3
02: 4 0 3
03: 1 3 2
04: 1 3 3
05: 3 3 1
06: 2 5 1
07: 5 2 5
08: 5 1 5
09: 5 0 5
10: 1 3 4
11: 4 1 3
12: 4 2 3
13: 4 3 3
14: 0 2 2
15: 3 2 1
16: 3 1 1
17: 3 0 1
18: 0 2 1
19: 4 2 3
20: 4 1 3
21: 4 0 3
22: 1 3 3
23: 1 3 2
24: 1 3 1
25: 4 1 3
26: 4 2 3
27: 4 3 3
28: 0 2 2
29: 0 2 3
30: 5 1 5
31: 5 2 5
32: 5 3 5
33: 0 2 4
