Algorithm Performed: IDA*
Time Elapsed: 150.62 sec
Expanded Nodes: 10469
Memory Usage at peak: 171.3860 KB
Solution Steps: 56 steps

01: 4 1 0
02: 4 2 0
03: 4 3 0
04: 0 2 0
05: 5 2 2
06: 5 1 2
07: 2 3 2
08: 7 3 5
09: 3 5 3
10: 7 2 5
11: 7 1 5
12: 2 3 3
13: 5 2 2
14: 5 3 2
15: 0 2 1
16: 4 2 0
17: 4 1 0
18: 4 0 0
19: 5 4 2
20: 2 3 2
21: 2 3 1
22: 2 3 0
23: 6 1 3
24: 1 0 2
25: 1 0 3
26: 1 0 4
27: 6 0 3
28: 2 3 1
29: 2 3 2
30: 2 3 3
31: 4 1 0
32: 4 2 0
33: 4 3 0
34: 0 2 0
35: 5 3 2
36: 3 5 2
37: 3 5 1
38: 5 2 2
39: 5 1 2
40: 2 3 2
41: 2 3 1
42: 5 0 2
43: 0 2 1
44: 4 2 0
45: 3 5 0
46: 4 1 0
47: 4 0 0
48: 2 3 0
49: 6 1 3
50: 1 0 3
51: 6 2 3
52: 6 3 3
53: 0 2 2
54: 0 2 3
55: 7 0 5
56: 0 2 4
