Algorithm Performed: IDA*
Time Elapsed: 1002.05 sec
Expanded Nodes: 50260
Memory Usage at peak: 465.2600 KB
Solution Steps: 69 steps

01: 1 0 1
02: 7 1 0
03: 7 0 0
04: 0 2 0
05: 8 2 2
06: 8 1 2
07: 5 4 1
08: 5 4 2
09: 5 4 3
10: 8 2 2
11: 8 3 2
12: 0 2 1
13: 7 1 0
14: 1 0 0
15: 7 2 0
16: 7 3 0
17: 0 2 0
18: 7 4 0
19: 8 2 2
20: 8 1 2
21: 8 0 2
22: 4 3 2
23: 4 3 1
24: 4 3 0
25: 8 1 2
26: 8 2 2
27: 8 3 2
28: 0 2 1
29: 9 2 3
30: 3 1 3
31: 10 1 5
32: 5 4 4
33: 9 3 3
34: 0 2 2
35: 0 2 3
36: 8 2 2
37: 8 1 2
38: 8 0 2
39: 4 3 1
40: 7 3 0
41: 7 2 0
42: 7 1 0
43: 4 3 0
44: 8 1 2
45: 1 0 1
46: 7 0 0
47: 8 2 2
48: 8 3 2
49: 0 2 2
50: 0 2 1
51: 0 2 0
52: 8 2 2
53: 8 1 2
54: 9 2 3
55: 5 4 3
56: 5 4 2
57: 5 4 1
58: 5 4 0
59: 8 2 2
60: 8 3 2
61: 0 2 1
62: 9 3 3
63: 0 2 2
64: 0 2 3
65: 8 2 2
66: 6 5 2
67: 10 2 5
68: 10 3 5
69: 0 2 4
