Algorithm Performed: A*
Time Elapsed: 4.46 sec
Expanded Nodes: 4287
Memory Usage at peak: 646.1230 KB
Solution Steps: 50 steps

01: 6 0 1
02: 8 1 4
03: 3 4 1
04: 5 3 0
05: 0 2 1
06: 0 2 0
07: 7 1 2
08: 1 0 2
09: 8 0 4
10: 4 5 1
11: 5 4 0
12: 9 3 4
13: 2 3 0
14: 7 2 2
15: 9 2 4
16: 3 4 2
17: 3 4 3
18: 7 3 2
19: 4 5 2
20: 4 5 3
21: 7 4 2
22: 2 3 1
23: 0 2 1
24: 0 2 2
25: 6 1 1
26: 2 3 2
27: 6 2 1
28: 6 3 1
29: 0 2 1
30: 6 4 1
31: 2 3 1
32: 2 3 0
33: 1 0 1
34: 1 0 0
35: 7 3 2
36: 0 2 0
37: 7 2 2
38: 7 1 2
39: 7 0 2
40: 3 4 2
41: 0 2 1
42: 2 3 1
43: 0 2 2
44: 2 3 2
45: 6 3 1
46: 6 2 1
47: 3 4 1
48: 9 3 4
49: 0 2 3
50: 0 2 4
