Algorithm Performed: A*
Time Elapsed: 12.29 sec
Expanded Nodes: 8849
Memory Usage at peak: 1.5504 MB
Solution Steps: 52 steps

01: 11 1 4
02: 4 3 2
03: 2 0 3
04: 12 0 5
05: 4 3 3
06: 7 3 0
07: 0 2 0
08: 9 1 2
09: 9 2 2
10: 9 3 2
11: 1 0 1
12: 0 2 1
13: 7 2 0
14: 3 1 1
15: 9 4 2
16: 7 1 0
17: 7 0 0
18: 4 3 2
19: 4 3 1
20: 4 3 0
21: 10 3 3
22: 10 2 3
23: 10 1 3
24: 4 3 1
25: 7 1 0
26: 7 2 0
27: 7 3 0
28: 4 3 2
29: 3 1 0
30: 4 3 3
31: 9 3 2
32: 0 2 0
33: 9 2 2
34: 9 1 2
35: 4 3 2
36: 4 3 1
37: 5 4 3
38: 11 2 4
39: 5 4 2
40: 11 3 4
41: 1 0 0
42: 9 0 2
43: 12 1 5
44: 12 2 5
45: 6 5 3
46: 12 3 5
47: 2 0 4
48: 10 0 3
49: 0 2 1
50: 0 2 2
51: 0 2 3
52: 0 2 4
