Algorithm Performed: A*
Time Elapsed: 2.27 sec
Expanded Nodes: 2087
Memory Usage at peak: 446.8270 KB
Solution Steps: 32 steps

01: 2 0 3
02: 0 2 2
03: 11 0 5
04: 0 2 3
05: 9 1 2
06: 4 3 2
07: 4 3 3
08: 9 2 2
09: 9 3 2
10: 9 4 2
11: 3 1 1
12: 4 3 2
13: 1 0 1
14: 8 1 0
15: 4 3 1
16: 8 0 0
17: 4 3 0
18: 0 2 2
19: 10 3 3
20: 0 2 1
21: 11 1 5
22: 10 2 3
23: 5 4 3
24: 11 2 5
25: 7 5 3
26: 11 3 5
27: 10 1 3
28: 2 0 4
29: 10 0 3
30: 0 2 2
31: 0 2 3
32: 0 2 4
