Algorithm Performed: A*
Time Elapsed: 5.08 sec
Expanded Nodes: 4319
Memory Usage at peak: 623.8220 KB
Solution Steps: 54 steps

01: 10 1 5
02: 3 3 4
03: 8 3 3
04: 8 2 3
05: 4 4 2
06: 4 4 3
07: 5 5 1
08: 6 4 0
09: 2 3 0
10: 7 2 2
11: 7 3 2
12: 8 1 3
13: 5 5 2
14: 3 3 3
15: 11 3 5
16: 5 5 3
17: 7 4 2
18: 2 3 1
19: 6 3 0
20: 0 2 1
21: 6 2 0
22: 6 1 0
23: 2 3 0
24: 7 3 2
25: 5 5 2
26: 11 4 5
27: 3 3 4
28: 8 2 3
29: 1 0 1
30: 6 0 0
31: 0 2 0
32: 7 2 2
33: 4 4 2
34: 4 4 1
35: 8 3 3
36: 5 5 1
37: 7 1 2
38: 5 5 0
39: 8 4 3
40: 3 3 3
41: 3 3 2
42: 9 1 4
43: 1 0 2
44: 1 0 3
45: 7 0 2
46: 9 2 4
47: 9 3 4
48: 0 2 1
49: 0 2 2
50: 0 2 3
51: 7 1 2
52: 1 0 2
53: 10 0 5
54: 0 2 4
