Algorithm Performed: A*
Time Elapsed: 2.32 sec
Expanded Nodes: 2811
Memory Usage at peak: 472.2410 KB
Solution Steps: 57 steps

01: 9 1 5
02: 9 0 5
03: 3 3 4
04: 8 1 3
05: 8 2 3
06: 2 1 2
07: 2 1 3
08: 1 0 2
09: 6 1 2
10: 1 0 3
11: 6 0 2
12: 0 2 1
13: 5 1 0
14: 5 2 0
15: 5 3 0
16: 0 2 0
17: 6 1 2
18: 6 2 2
19: 2 1 2
20: 2 1 1
21: 1 0 2
22: 8 1 3
23: 1 0 1
24: 8 0 3
25: 2 1 0
26: 6 1 2
27: 3 3 3
28: 3 3 2
29: 5 4 0
30: 3 3 1
31: 3 3 0
32: 8 1 3
33: 6 2 2
34: 2 1 1
35: 8 2 3
36: 2 1 2
37: 1 0 0
38: 2 1 3
39: 6 1 2
40: 6 0 2
41: 3 3 1
42: 5 3 0
43: 0 2 1
44: 5 2 0
45: 5 1 0
46: 3 3 0
47: 7 3 2
48: 4 5 2
49: 9 1 5
50: 9 2 5
51: 9 3 5
52: 4 5 1
53: 4 5 0
54: 8 3 3
55: 0 2 2
56: 0 2 3
57: 0 2 4
