Algorithm Performed: A*
Time Elapsed: 3.96 sec
Expanded Nodes: 3950
Memory Usage at peak: 520.4120 KB
Solution Steps: 69 steps

01: 1 0 1
02: 7 1 0
03: 7 0 0
04: 0 2 0
05: 8 2 2
06: 8 1 2
07: 5 4 1
08: 5 4 2
09: 5 4 3
10: 8 2 2
11: 8 3 2
12: 0 2 1
13: 7 1 0
14: 7 2 0
15: 7 3 0
16: 0 2 0
17: 8 2 2
18: 8 1 2
19: 1 0 0
20: 7 4 0
21: 8 0 2
22: 4 3 2
23: 4 3 1
24: 4 3 0
25: 8 1 2
26: 8 2 2
27: 8 3 2
28: 9 2 3
29: 3 1 3
30: 10 1 5
31: 5 4 4
32: 9 3 3
33: 0 2 1
34: 0 2 2
35: 0 2 3
36: 8 2 2
37: 8 1 2
38: 8 0 2
39: 4 3 1
40: 7 3 0
41: 7 2 0
42: 7 1 0
43: 4 3 0
44: 8 1 2
45: 1 0 1
46: 8 2 2
47: 8 3 2
48: 7 0 0
49: 0 2 2
50: 0 2 1
51: 0 2 0
52: 9 2 3
53: 5 4 3
54: 8 2 2
55: 8 1 2
56: 5 4 2
57: 5 4 1
58: 9 3 3
59: 5 4 0
60: 8 2 2
61: 8 3 2
62: 0 2 1
63: 0 2 2
64: 0 2 3
65: 8 2 2
66: 10 2 5
67: 6 5 2
68: 10 3 5
69: 0 2 4
