Algorithm Performed: A*
Time Elapsed: 2.29 sec
Expanded Nodes: 2161
Memory Usage at peak: 453.5570 KB
Solution Steps: 51 steps

01: 10 1 3
02: 1 0 1
03: 1 0 2
04: 1 0 3
05: 6 5 3
06: 11 2 5
07: 6 5 4
08: 5 5 1
09: 5 5 2
10: 8 4 1
11: 9 0 2
12: 7 4 0
13: 3 3 2
14: 3 3 1
15: 10 2 3
16: 3 3 0
17: 2 1 3
18: 9 1 2
19: 11 1 5
20: 4 4 3
21: 9 2 2
22: 2 1 2
23: 2 1 1
24: 2 1 0
25: 9 1 2
26: 9 0 2
27: 10 1 3
28: 3 3 1
29: 3 3 2
30: 7 3 0
31: 8 3 1
32: 5 5 1
33: 3 3 3
34: 5 5 0
35: 9 1 2
36: 9 2 2
37: 9 3 2
38: 1 0 2
39: 1 0 1
40: 1 0 0
41: 10 0 3
42: 0 2 1
43: 0 2 2
44: 0 2 3
45: 9 2 2
46: 9 1 2
47: 4 4 2
48: 6 5 3
49: 11 2 5
50: 11 3 5
51: 0 2 4
