Algorithm Performed: A*
Time Elapsed: 5.74 sec
Expanded Nodes: 4804
Memory Usage at peak: 789.8430 KB
Solution Steps: 46 steps

01: 4 4 3
02: 6 0 0
03: 0 2 0
04: 9 1 2
05: 9 2 2
06: 9 3 2
07: 1 0 2
08: 1 0 1
09: 0 2 1
10: 6 1 0
11: 1 0 0
12: 10 0 3
13: 3 3 3
14: 11 3 5
15: 5 5 2
16: 5 5 3
17: 8 4 1
18: 9 4 2
19: 3 3 2
20: 3 3 1
21: 10 1 3
22: 11 2 5
23: 4 4 4
24: 10 2 3
25: 2 1 3
26: 11 1 5
27: 11 0 5
28: 2 1 2
29: 2 1 1
30: 10 1 3
31: 10 0 3
32: 3 3 2
33: 3 3 3
34: 9 3 2
35: 3 3 4
36: 5 5 2
37: 8 3 1
38: 5 5 1
39: 10 1 3
40: 7 3 0
41: 5 5 0
42: 10 2 3
43: 10 3 3
44: 0 2 2
45: 0 2 3
46: 0 2 4
