Algorithm Performed: A*
Time Elapsed: 2.19 sec
Expanded Nodes: 2667
Memory Usage at peak: 514.2100 KB
Solution Steps: 49 steps

01: 5 5 1
02: 5 5 0
03: 8 4 3
04: 3 3 3
05: 9 1 5
06: 1 0 3
07: 6 0 2
08: 0 2 2
09: 0 2 1
10: 0 2 0
11: 6 1 2
12: 1 0 2
13: 9 0 5
14: 3 3 4
15: 8 3 3
16: 5 5 1
17: 5 5 2
18: 5 5 3
19: 7 4 2
20: 6 2 2
21: 2 1 2
22: 2 1 1
23: 8 2 3
24: 8 1 3
25: 3 3 3
26: 4 4 3
27: 2 1 0
28: 6 1 2
29: 3 3 2
30: 3 3 1
31: 9 1 5
32: 3 3 0
33: 7 3 2
34: 5 5 2
35: 9 2 5
36: 9 3 5
37: 1 0 3
38: 6 0 2
39: 7 2 2
40: 4 4 2
41: 4 4 1
42: 4 4 0
43: 7 3 2
44: 8 2 3
45: 8 3 3
46: 0 2 1
47: 0 2 2
48: 0 2 3
49: 0 2 4
