Algorithm Performed: A*
Time Elapsed: 0.57 sec
Expanded Nodes: 853
Memory Usage at peak: 140.0530 KB
Solution Steps: 56 steps

01: 4 1 0
02: 4 2 0
03: 4 3 0
04: 0 2 0
05: 5 2 2
06: 5 1 2
07: 2 3 2
08: 7 3 5
09: 7 2 5
10: 7 1 5
11: 2 3 3
12: 5 2 2
13: 5 3 2
14: 3 5 3
15: 5 4 2
16: 0 2 1
17: 2 3 2
18: 4 2 0
19: 4 1 0
20: 2 3 1
21: 4 0 0
22: 2 3 0
23: 6 1 3
24: 1 0 2
25: 1 0 3
26: 1 0 4
27: 6 0 3
28: 2 3 1
29: 4 1 0
30: 2 3 2
31: 4 2 0
32: 4 3 0
33: 0 2 0
34: 2 3 3
35: 5 3 2
36: 5 2 2
37: 5 1 2
38: 5 0 2
39: 2 3 2
40: 7 2 5
41: 7 3 5
42: 0 2 1
43: 3 5 2
44: 3 5 1
45: 4 2 0
46: 4 1 0
47: 2 3 1
48: 4 0 0
49: 2 3 0
50: 6 1 3
51: 6 2 3
52: 3 5 0
53: 6 3 3
54: 0 2 2
55: 0 2 3
56: 0 2 4
