Algorithm Performed: A*
Time Elapsed: 0.15 sec
Expanded Nodes: 261
Memory Usage at peak: 58.7120 KB
Solution Steps: 49 steps

01: 2 3 2
02: 4 2 0
03: 4 3 0
04: 2 3 3
05: 0 2 0
06: 5 1 2
07: 5 2 2
08: 5 3 2
09: 0 2 1
10: 4 2 0
11: 4 1 0
12: 1 0 1
13: 4 0 0
14: 5 4 2
15: 2 3 2
16: 2 3 1
17: 2 3 0
18: 6 1 3
19: 1 0 2
20: 1 0 3
21: 1 0 4
22: 6 0 3
23: 2 3 1
24: 4 1 0
25: 2 3 2
26: 2 3 3
27: 4 2 0
28: 4 3 0
29: 0 2 0
30: 5 3 2
31: 5 2 2
32: 5 1 2
33: 5 0 2
34: 0 2 1
35: 4 2 0
36: 4 1 0
37: 4 0 0
38: 2 3 2
39: 2 3 1
40: 2 3 0
41: 3 5 2
42: 6 1 3
43: 6 2 3
44: 3 5 1
45: 3 5 0
46: 6 3 3
47: 0 2 2
48: 0 2 3
49: 0 2 4
