Algorithm Performed: A*
Time Elapsed: 0.98 sec
Expanded Nodes: 1170
Memory Usage at peak: 173.1140 KB
Solution Steps: 55 steps

01: 5 5 3
02: 3 3 3
03: 2 3 1
04: 6 1 0
05: 6 2 0
06: 4 5 1
07: 6 3 0
08: 0 2 0
09: 9 2 5
10: 9 1 5
11: 7 1 2
12: 1 0 2
13: 9 0 5
14: 3 3 4
15: 8 2 3
16: 8 3 3
17: 5 5 4
18: 8 4 3
19: 3 3 3
20: 9 1 5
21: 1 0 3
22: 7 0 2
23: 0 2 1
24: 0 2 2
25: 0 2 3
26: 6 2 0
27: 6 1 0
28: 7 1 2
29: 6 0 0
30: 2 3 0
31: 1 0 2
32: 9 0 5
33: 7 2 2
34: 3 3 4
35: 7 3 2
36: 4 5 0
37: 8 3 3
38: 7 4 2
39: 2 3 1
40: 6 1 0
41: 1 0 1
42: 1 0 0
43: 0 2 2
44: 0 2 1
45: 8 2 3
46: 8 1 3
47: 8 0 3
48: 3 3 3
49: 9 1 5
50: 9 2 5
51: 5 5 3
52: 9 3 5
53: 0 2 2
54: 0 2 3
55: 0 2 4
