Algorithm Performed: A*
Time Elapsed: 3.68 sec
Expanded Nodes: 3081
Memory Usage at peak: 534.7550 KB
Solution Steps: 81 steps

01: 5 5 4
02: 10 4 3
03: 2 3 1
04: 12 0 5
05: 2 3 2
06: 7 2 1
07: 2 3 3
08: 7 3 1
09: 9 3 2
10: 6 1 0
11: 1 0 0
12: 8 0 2
13: 0 2 2
14: 0 2 1
15: 4 5 1
16: 6 2 0
17: 6 3 0
18: 0 2 0
19: 8 1 2
20: 1 0 1
21: 1 0 2
22: 11 1 4
23: 1 0 3
24: 8 0 2
25: 0 2 1
26: 0 2 2
27: 7 2 1
28: 7 1 1
29: 7 0 1
30: 6 2 0
31: 4 5 0
32: 0 2 1
33: 9 4 2
34: 2 3 2
35: 12 1 5
36: 6 1 0
37: 1 0 4
38: 6 0 0
39: 2 3 1
40: 2 3 0
41: 10 3 3
42: 10 2 3
43: 10 1 3
44: 10 0 3
45: 0 2 2
46: 7 1 1
47: 2 3 1
48: 2 3 2
49: 7 2 1
50: 7 3 1
51: 0 2 1
52: 6 1 0
53: 10 1 3
54: 1 0 3
55: 6 2 0
56: 12 0 5
57: 2 3 3
58: 9 3 2
59: 4 5 1
60: 6 3 0
61: 0 2 0
62: 8 1 2
63: 1 0 2
64: 11 0 4
65: 1 0 1
66: 1 0 0
67: 8 0 2
68: 0 2 1
69: 6 2 0
70: 4 5 0
71: 9 4 2
72: 2 3 2
73: 12 1 5
74: 3 4 3
75: 12 2 5
76: 5 5 3
77: 12 3 5
78: 10 0 3
79: 0 2 2
80: 0 2 3
81: 0 2 4
