Algorithm Performed: IDS
Time Elapsed: 947.43 sec
Expanded Nodes: 59046
Memory Usage at peak: 460.4160 KB
Solution Steps: 54 steps

01: 1 0 1
02: 10 1 5
03: 3 3 4
04: 8 3 3
05: 5 5 1
06: 5 5 2
07: 6 4 0
08: 2 3 0
09: 7 2 2
10: 8 2 3
11: 4 4 2
12: 4 4 3
13: 7 3 2
14: 0 2 1
15: 8 1 3
16: 3 3 3
17: 11 3 5
18: 5 5 3
19: 7 4 2
20: 2 3 1
21: 6 3 0
22: 6 2 0
23: 6 1 0
24: 2 3 0
25: 6 0 0
26: 0 2 0
27: 7 3 2
28: 5 5 2
29: 5 5 1
30: 5 5 0
31: 7 2 2
32: 4 4 2
33: 4 4 1
34: 7 1 2
35: 11 4 5
36: 3 3 4
37: 8 2 3
38: 8 3 3
39: 8 4 3
40: 3 3 3
41: 3 3 2
42: 9 1 4
43: 1 0 2
44: 1 0 3
45: 7 0 2
46: 0 2 1
47: 0 2 2
48: 9 2 4
49: 9 3 4
50: 0 2 3
51: 7 1 2
52: 1 0 2
53: 10 0 5
54: 0 2 4
