Algorithm Performed: IDS
Time Elapsed: 1157.51 sec
Expanded Nodes: 84635
Memory Usage at peak: 849.0270 KB
Solution Steps: 52 steps

01: 2 0 3
02: 7 3 0
03: 0 2 0
04: 9 1 2
05: 1 0 1
06: 11 1 4
07: 4 3 2
08: 12 0 5
09: 4 3 3
10: 9 2 2
11: 3 1 1
12: 9 3 2
13: 0 2 1
14: 7 2 0
15: 7 1 0
16: 7 0 0
17: 9 4 2
18: 4 3 2
19: 4 3 1
20: 4 3 0
21: 10 3 3
22: 6 5 3
23: 10 2 3
24: 5 4 3
25: 10 1 3
26: 4 3 1
27: 4 3 2
28: 4 3 3
29: 7 1 0
30: 1 0 0
31: 7 2 0
32: 3 1 0
33: 7 3 0
34: 0 2 0
35: 9 3 2
36: 9 2 2
37: 5 4 2
38: 9 1 2
39: 4 3 2
40: 4 3 1
41: 9 0 2
42: 0 2 1
43: 11 2 4
44: 11 3 4
45: 12 1 5
46: 2 0 4
47: 10 0 3
48: 0 2 2
49: 0 2 3
50: 12 2 5
51: 12 3 5
52: 0 2 4
