Algorithm Performed: DFS
Time Elapsed: 0.60 sec
Expanded Nodes: 2084
Memory Usage at peak: 2.1167 MB
Solution Steps: 1436 steps

0001: 9 1 5
0002: 9 0 5
0003: 3 3 4
0004: 8 1 3
0005: 1 0 2
0006: 1 0 3
0007: 8 2 3
0008: 1 0 2
0009: 1 0 1
0010: 2 1 2
0011: 1 0 2
0012: 1 0 3
0013: 2 1 3
0014: 1 0 2
0015: 1 0 1
0016: 6 1 2
0017: 1 0 2
0018: 1 0 3
0019: 6 0 2
0020: 0 2 1
0021: 5 1 0
0022: 5 2 0
0023: 5 3 0
0024: 0 2 0
0025: 5 4 0
0026: 0 2 1
0027: 7 3 2
0028: 0 2 0
0029: 4 5 2
0030: 0 2 1
0031: 4 5 1
0032: 0 2 0
0033: 5 3 0
0034: 0 2 1
0035: 4 5 0
0036: 0 2 0
0037: 6 1 2
0038: 1 0 2
0039: 1 0 1
0040: 1 0 0
0041: 4 5 1
0042: 1 0 1
0043: 1 0 2
0044: 1 0 3
0045: 4 5 2
0046: 1 0 2
0047: 1 0 1
0048: 1 0 0
0049: 4 5 3
0050: 1 0 1
0051: 1 0 2
0052: 1 0 3
0053: 5 4 0
0054: 1 0 2
0055: 1 0 1
0056: 1 0 0
0057: 4 5 2
0058: 1 0 1
0059: 1 0 2
0060: 1 0 3
0061: 4 5 1
0062: 1 0 2
0063: 1 0 1
0064: 1 0 0
0065: 6 0 2
0066: 0 2 1
0067: 4 5 2
0068: 0 2 0
0069: 4 5 3
0070: 0 2 1
0071: 5 3 0
0072: 0 2 0
0073: 4 5 2
0074: 0 2 1
0075: 4 5 1
0076: 0 2 0
0077: 4 5 0
0078: 0 2 1
0079: 5 2 0
0080: 4 5 1
0081: 4 5 2
0082: 4 5 3
0083: 5 1 0
0084: 7 4 2
0085: 5 2 0
0086: 5 3 0
0087: 0 2 0
0088: 5 4 0
0089: 6 1 2
0090: 1 0 1
0091: 1 0 2
0092: 1 0 3
0093: 5 3 0
0094: 1 0 2
0095: 1 0 1
0096: 1 0 0
0097: 6 2 2
0098: 1 0 1
0099: 1 0 2
0100: 1 0 3
0101: 2 1 2
0102: 1 0 2
0103: 1 0 1
0104: 1 0 0
0105: 2 1 1
0106: 1 0 1
0107: 1 0 2
0108: 1 0 3
0109: 2 1 0
0110: 1 0 2
