Algorithm Performed: DFS
Time Elapsed: 0.18 sec
Expanded Nodes: 765
Memory Usage at peak: 735.3280 KB
Solution Steps: 554 steps

001: 3 5 1
002: 3 5 0
003: 4 1 0
004: 1 0 0
005: 3 5 1
006: 1 0 1
007: 3 5 2
008: 1 0 0
009: 4 2 0
010: 1 0 1
011: 3 5 1
012: 1 0 0
013: 4 3 0
014: 0 2 0
015: 1 0 1
016: 0 2 1
017: 3 5 2
018: 0 2 0
019: 1 0 0
020: 5 2 2
021: 1 0 1
022: 3 5 1
023: 1 0 0
024: 5 1 2
025: 1 0 1
026: 2 3 2
027: 1 0 0
028: 2 3 1
029: 1 0 1
030: 3 5 2
031: 1 0 0
032: 2 3 2
033: 1 0 1
034: 2 3 3
035: 1 0 0
036: 5 0 2
037: 0 2 1
038: 2 3 2
039: 0 2 0
040: 2 3 1
041: 0 2 1
042: 3 5 1
043: 0 2 0
044: 2 3 2
045: 0 2 1
046: 2 3 3
047: 4 2 0
048: 2 3 2
049: 2 3 1
050: 3 5 0
051: 2 3 2
052: 2 3 3
053: 4 1 0
054: 2 3 2
055: 2 3 1
056: 3 5 1
057: 2 3 2
058: 2 3 3
059: 3 5 2
060: 2 3 2
061: 2 3 1
062: 4 2 0
063: 2 3 2
064: 7 3 5
065: 2 3 1
066: 3 5 1
067: 2 3 2
068: 3 5 0
069: 2 3 1
070: 4 1 0
071: 2 3 2
072: 3 5 1
073: 2 3 1
074: 3 5 2
075: 2 3 2
076: 3 5 3
077: 2 3 1
078: 4 2 0
079: 2 3 2
080: 4 3 0
081: 0 2 0
082: 2 3 1
083: 0 2 1
084: 3 5 2
085: 0 2 0
086: 2 3 2
087: 0 2 1
088: 3 5 1
089: 0 2 0
090: 2 3 1
091: 0 2 1
092: 7 2 5
093: 0 2 0
094: 2 3 2
095: 0 2 1
096: 3 5 2
097: 0 2 0
098: 2 3 1
099: 0 2 1
100: 3 5 3
101: 0 2 0
102: 2 3 2
103: 0 2 1
104: 4 2 0
105: 2 3 1
106: 3 5 2
107: 2 3 2
108: 3 5 1
109: 2 3 1
110: 3 5 0
111: 2 3 2
112: 4 1 0
113: 2 3 1
114: 3 5 1
115: 2 3 2
116: 3 5 2
117: 2 3 1
118: 3 5 3
119: 2 3 2
120: 7 1 5
121: 2 3 1
122: 3 5 2
123: 2 3 2
124: 2 3 3
125: 3 5 1
126: 2 3 2
127: 2 3 1
128: 3 5 0
129: 2 3 2
130: 2 3 3
131: 4 2 0
132: 2 3 2
133: 2 3 1
134: 3 5 1
135: 2 3 2
136: 2 3 3
137: 3 5 2
138: 2 3 2
139: 2 3 1
140: 3 5 3
141: 2 3 2
142: 2 3 3
143: 4 1 0
144: 7 0 5
145: 2 3 2
146: 2 3 1
147: 3 5 2
148: 2 3 2
149: 2 3 3
150: 3 5 1
151: 2 3 2
152: 2 3 1
153: 3 5 0
154: 2 3 2
155: 2 3 3
156: 4 2 0
157: 2 3 2
158: 2 3 1
159: 3 5 1
160: 2 3 2
161: 2 3 3
162: 3 5 2
163: 2 3 2
164: 2 3 1
165: 3 5 3
166: 2 3 2
167: 2 3 3
168: 4 3 0
169: 0 2 0
170: 2 3 2
171: 0 2 1
172: 2 3 1
173: 0 2 0
174: 3 5 2
175: 0 2 1
176: 2 3 2
177: 0 2 0
178: 2 3 3
179: 0 2 1
180: 3 5 1
181: 0 2 0
182: 2 3 2
183: 0 2 1
184: 2 3 1
185: 0 2 0
186: 5 1 2
187: 1 0 1
188: 2 3 2
189: 1 0 0
190: 2 3 3
191: 1 0 1
192: 3 5 2
193: 1 0 0
194: 2 3 2
195: 1 0 1
196: 2 3 1
197: 1 0 0
198: 3 5 3
199: 1 0 1
200: 2 3 2
201: 1 0 0
202: 2 3 3
203: 1 0 1
204: 5 2 2
205: 1 0 0
206: 3 5 2
207: 1 0 1
208: 3 5 1
209: 1 0 0
210: 5 3 2
211: 0 2 1
212: 1 0 1
213: 0 2 0
214: 3 5 2
215: 0 2 1
216: 1 0 0
217: 0 2 0
218: 3 5 3
219: 0 2 1
220: 1 0 1
221: 0 2 0
222: 5 4 2
223: 0 2 1
224: 1 0 0
225: 0 2 0
226: 2 3 2
227: 0 2 1
228: 1 0 1
229: 0 2 0
230: 2 3 1
231: 0 2 1
232: 1 0 0
233: 0 2 0
234: 7 1 5
