Algorithm Performed: DFS
Time Elapsed: 0.56 sec
Expanded Nodes: 2446
Memory Usage at peak: 2.8903 MB
Solution Steps: 2192 steps

0001: 1 0 1
0002: 1 0 0
0003: 5 5 1
0004: 1 0 1
0005: 1 0 2
0006: 5 5 0
0007: 1 0 1
0008: 1 0 0
0009: 8 4 3
0010: 1 0 1
0011: 1 0 2
0012: 3 3 3
0013: 1 0 1
0014: 1 0 0
0015: 9 1 5
0016: 1 0 1
0017: 1 0 2
0018: 1 0 3
0019: 6 0 2
0020: 0 2 2
0021: 0 2 1
0022: 0 2 0
0023: 6 1 2
0024: 1 0 2
0025: 1 0 1
0026: 1 0 0
0027: 9 0 5
0028: 1 0 1
0029: 1 0 2
0030: 3 3 4
0031: 1 0 1
0032: 1 0 0
0033: 8 3 3
0034: 1 0 1
0035: 1 0 2
0036: 5 5 1
0037: 1 0 1
0038: 1 0 0
0039: 5 5 2
0040: 1 0 1
0041: 1 0 2
0042: 5 5 3
0043: 1 0 1
0044: 1 0 0
0045: 7 4 2
0046: 1 0 1
0047: 1 0 2
0048: 6 2 2
0049: 1 0 1
0050: 1 0 0
0051: 2 1 2
0052: 1 0 1
0053: 1 0 2
0054: 2 1 1
0055: 1 0 1
0056: 1 0 0
0057: 2 1 0
0058: 1 0 1
0059: 1 0 2
0060: 6 1 2
0061: 1 0 1
0062: 1 0 0
0063: 7 3 2
0064: 1 0 1
0065: 1 0 2
0066: 5 5 2
0067: 1 0 1
0068: 1 0 0
0069: 5 5 1
0070: 1 0 1
0071: 1 0 2
0072: 5 5 0
0073: 1 0 1
0074: 1 0 0
0075: 8 2 3
0076: 1 0 1
0077: 1 0 2
0078: 4 4 3
0079: 1 0 1
0080: 1 0 0
0081: 5 5 1
0082: 1 0 1
0083: 1 0 2
0084: 4 4 4
0085: 1 0 1
0086: 1 0 0
0087: 5 5 2
0088: 1 0 1
0089: 1 0 2
0090: 4 4 3
0091: 1 0 1
0092: 1 0 0
0093: 5 5 3
0094: 1 0 1
0095: 1 0 2
0096: 4 4 4
0097: 1 0 1
0098: 1 0 0
0099: 7 4 2
0100: 1 0 1
0101: 1 0 2
0102: 4 4 3
0103: 1 0 1
0104: 1 0 0
0105: 6 2 2
0106: 1 0 1
0107: 1 0 2
0108: 2 1 1
0109: 1 0 1
0110: 1 0 0
0111: 2 1 2
0112: 1 0 1
0113: 1 0 2
0114: 2 1 3
0115: 1 0 1
0116: 1 0 0
0117: 4 4 4
0118: 1 0 1
0119: 1 0 2
0120: 2 1 2
0121: 1 0 1
0122: 1 0 0
0123: 2 1 1
0124: 1 0 1
0125: 1 0 2
0126: 2 1 0
0127: 1 0 1
0128: 1 0 0
0129: 8 1 3
0130: 1 0 1
0131: 1 0 2
0132: 2 1 1
0133: 1 0 1
0134: 1 0 0
0135: 3 3 3
0136: 1 0 1
0137: 1 0 2
0138: 2 1 0
0139: 1 0 1
0140: 1 0 0
0141: 4 4 3
0142: 1 0 1
0143: 1 0 2
0144: 2 1 1
0145: 1 0 1
0146: 1 0 0
0147: 3 3 4
0148: 1 0 1
0149: 1 0 2
0150: 2 1 0
0151: 1 0 1
0152: 1 0 0
0153: 6 1 2
0154: 1 0 1
0155: 1 0 2
0156: 3 3 3
0157: 1 0 1
0158: 1 0 0
0159: 3 3 2
0160: 1 0 1
0161: 1 0 2
0162: 3 3 1
0163: 1 0 1
0164: 1 0 0
0165: 3 3 0
