Algorithm Performed: DFS
Time Elapsed: 0.70 sec
Expanded Nodes: 1796
Memory Usage at peak: 1.6973 MB
Solution Steps: 1206 steps

0001: 6 5 3
0002: 5 5 1
0003: 7 4 0
0004: 10 1 3
0005: 1 0 1
0006: 1 0 2
0007: 1 0 3
0008: 7 3 0
0009: 1 0 2
0010: 1 0 1
0011: 1 0 0
0012: 5 5 0
0013: 1 0 1
0014: 1 0 2
0015: 1 0 3
0016: 6 5 2
0017: 1 0 2
0018: 1 0 1
0019: 1 0 0
0020: 11 2 5
0021: 1 0 1
0022: 1 0 2
0023: 1 0 3
0024: 6 5 3
0025: 1 0 2
0026: 1 0 1
0027: 1 0 0
0028: 5 5 1
0029: 1 0 1
0030: 1 0 2
0031: 1 0 3
0032: 6 5 4
0033: 1 0 2
0034: 1 0 1
0035: 1 0 0
0036: 5 5 0
0037: 1 0 1
0038: 1 0 2
0039: 1 0 3
0040: 9 0 2
0041: 3 3 2
0042: 5 5 1
0043: 3 3 3
0044: 5 5 2
0045: 3 3 2
0046: 7 4 0
0047: 3 3 3
0048: 5 5 1
0049: 3 3 2
0050: 6 5 3
0051: 3 3 3
0052: 9 1 2
0053: 1 0 2
0054: 1 0 1
0055: 1 0 0
0056: 6 5 4
0057: 1 0 1
0058: 1 0 2
0059: 1 0 3
0060: 5 5 2
0061: 1 0 2
0062: 1 0 1
0063: 1 0 0
0064: 7 3 0
0065: 1 0 1
0066: 1 0 2
0067: 1 0 3
0068: 8 4 1
0069: 1 0 2
0070: 1 0 1
0071: 1 0 0
0072: 7 4 0
0073: 1 0 1
0074: 1 0 2
0075: 1 0 3
0076: 9 0 2
0077: 3 3 2
0078: 3 3 1
0079: 3 3 0
0080: 9 1 2
0081: 1 0 2
0082: 1 0 1
0083: 1 0 0
0084: 10 2 3
0085: 1 0 1
0086: 1 0 2
0087: 1 0 3
0088: 2 1 3
0089: 1 0 2
0090: 1 0 1
0091: 1 0 0
0092: 11 1 5
0093: 1 0 1
0094: 1 0 2
0095: 1 0 3
0096: 4 4 3
0097: 1 0 2
0098: 1 0 1
0099: 1 0 0
0100: 9 2 2
0101: 1 0 1
0102: 1 0 2
0103: 1 0 3
0104: 2 1 2
0105: 1 0 2
0106: 1 0 1
0107: 1 0 0
0108: 2 1 1
0109: 1 0 1
0110: 1 0 2
0111: 1 0 3
0112: 2 1 0
0113: 1 0 2
0114: 1 0 1
0115: 1 0 0
0116: 9 1 2
0117: 1 0 1
0118: 1 0 2
0119: 1 0 3
0120: 4 4 2
0121: 1 0 2
0122: 1 0 1
0123: 1 0 0
0124: 10 1 3
0125: 1 0 1
0126: 1 0 2
0127: 1 0 3
0128: 4 4 3
0129: 1 0 2
0130: 1 0 1
0131: 1 0 0
0132: 9 2 2
0133: 1 0 1
0134: 1 0 2
0135: 1 0 3
0136: 2 1 1
0137: 1 0 2
0138: 1 0 1
0139: 1 0 0
0140: 10 0 3
0141: 2 1 0
0142: 9 1 2
0143: 4 4 2
0144: 11 2 5
0145: 10 1 3
0146: 1 0 1
0147: 1 0 2
0148: 1 0 3
0149: 9 0 2
0150: 3 3 1
0151: 3 3 2
0152: 3 3 3
0153: 7 3 0
0154: 3 3 2
0155: 3 3 1
0156: 10 2 3
0157: 7 4 0
0158: 3 3 0
0159: 11 1 5
0160: 3 3 1
0161: 4 4 3
0162: 3 3 0
0163: 10 1 3
0164: 3 3 1
0165: 3 3 2
0166: 3 3 3
0167: 4 4 2
0168: 3 3 2
0169: 3 3 1
0170: 7 3 0
0171: 3 3 2
0172: 3 3 3
0173: 4 4 3
0174: 3 3 2
0175: 8 3 1
0176: 3 3 3
0177: 4 4 2
0178: 3 3 2
0179: 5 5 1
0180: 3 3 3
0181: 4 4 3
0182: 3 3 2
0183: 5 5 0
0184: 3 3 3
0185: 4 4 2
0186: 3 3 2
0187: 6 5 3
0188: 3 3 3
0189: 4 4 3
0190: 3 3 2
0191: 5 5 1
0192: 3 3 3
0193: 4 4 2
0194: 3 3 2
0195: 7 4 0
0196: 3 3 3
0197: 4 4 3
0198: 3 3 2
0199: 6 5 4
0200: 3 3 3
0201: 4 4 2
0202: 3 3 2
0203: 5 5 2
0204: 3 3 3
0205: 4 4 3
0206: 9 1 2
0207: 1 0 2
0208: 1 0 1
0209: 1 0 0
0210: 4 4 2
0211: 1 0 1
0212: 1 0 2
0213: 1 0 3
0214: 5 5 1
0215: 1 0 2
0216: 1 0 1
0217: 1 0 0
0218: 4 4 3
0219: 1 0 1
0220: 1 0 2
0221: 1 0 3
0222: 6 5 3
0223: 1 0 2
0224: 1 0 1
0225: 1 0 0
0226: 4 4 2
0227: 1 0 1
0228: 1 0 2
0229: 1 0 3
0230: 7 3 0
0231: 1 0 2
0232: 1 0 1
0233: 1 0 0
0234: 4 4 3
0235: 1 0 1
0236: 1 0 2
0237: 1 0 3
0238: 5 5 0
0239: 1 0 2
0240: 1 0 1
