Algorithm Performed: DFS
Time Elapsed: 0.78 sec
Expanded Nodes: 3211
Memory Usage at peak: 3.6912 MB
Solution Steps: 2825 steps

0001: 1 0 4
0002: 2 3 2
0003: 1 0 3
0004: 3 4 1
0005: 1 0 4
0006: 2 3 1
0007: 1 0 3
0008: 4 5 1
0009: 1 0 4
0010: 2 3 2
0011: 1 0 3
0012: 3 4 0
0013: 1 0 4
0014: 2 3 1
0015: 1 0 3
0016: 4 5 2
0017: 1 0 4
0018: 2 3 2
0019: 1 0 3
0020: 3 4 1
0021: 1 0 4
0022: 2 3 1
0023: 1 0 3
0024: 5 1 0
0025: 1 0 4
0026: 2 3 0
0027: 1 0 3
0028: 3 4 0
0029: 1 0 4
0030: 2 3 1
0031: 1 0 3
0032: 2 3 2
0033: 1 0 4
0034: 3 4 1
0035: 1 0 3
0036: 4 5 1
0037: 1 0 4
0038: 2 3 1
0039: 1 0 3
0040: 2 3 0
0041: 1 0 4
0042: 3 4 0
0043: 1 0 3
0044: 2 3 1
0045: 1 0 4
0046: 2 3 2
0047: 1 0 3
0048: 4 5 0
0049: 1 0 4
0050: 2 3 1
0051: 1 0 3
0052: 2 3 0
0053: 1 0 4
0054: 3 4 1
0055: 1 0 3
0056: 2 3 1
0057: 1 0 4
0058: 2 3 2
0059: 1 0 3
0060: 5 0 0
0061: 1 0 4
0062: 2 3 1
0063: 1 0 3
0064: 2 3 0
0065: 1 0 4
0066: 3 4 0
0067: 1 0 3
0068: 2 3 1
0069: 1 0 4
0070: 2 3 2
0071: 1 0 3
0072: 4 5 1
0073: 1 0 4
0074: 2 3 1
0075: 1 0 3
0076: 2 3 0
0077: 1 0 4
0078: 3 4 1
0079: 1 0 3
0080: 2 3 1
0081: 1 0 4
0082: 2 3 2
0083: 1 0 3
0084: 4 5 2
0085: 1 0 4
0086: 2 3 1
0087: 1 0 3
0088: 2 3 0
0089: 1 0 4
0090: 3 4 0
0091: 1 0 3
0092: 2 3 1
0093: 1 0 4
0094: 2 3 2
0095: 1 0 3
0096: 6 0 1
0097: 0 2 1
0098: 0 2 0
0099: 1 0 4
0100: 0 2 1
0101: 0 2 2
0102: 2 3 1
0103: 0 2 1
0104: 0 2 0
0105: 1 0 3
0106: 0 2 1
0107: 0 2 2
0108: 2 3 0
0109: 0 2 1
0110: 0 2 0
0111: 1 0 4
0112: 0 2 1
0113: 0 2 2
0114: 3 4 1
0115: 0 2 1
0116: 0 2 0
0117: 1 0 3
0118: 0 2 1
0119: 0 2 2
0120: 2 3 1
0121: 0 2 1
0122: 0 2 0
0123: 1 0 4
0124: 0 2 1
0125: 0 2 2
0126: 2 3 2
0127: 0 2 1
0128: 0 2 0
0129: 1 0 3
0130: 0 2 1
0131: 0 2 2
0132: 4 5 1
0133: 0 2 1
0134: 0 2 0
0135: 1 0 4
0136: 0 2 1
0137: 0 2 2
0138: 2 3 1
0139: 0 2 1
0140: 0 2 0
0141: 1 0 3
0142: 0 2 1
0143: 0 2 2
0144: 2 3 0
0145: 0 2 1
0146: 0 2 0
0147: 1 0 4
0148: 0 2 1
0149: 0 2 2
0150: 3 4 0
0151: 0 2 1
0152: 0 2 0
0153: 1 0 3
0154: 0 2 1
0155: 0 2 2
0156: 2 3 1
0157: 0 2 1
0158: 0 2 0
0159: 1 0 4
0160: 0 2 1
0161: 0 2 2
0162: 2 3 2
0163: 0 2 1
0164: 0 2 0
0165: 1 0 3
0166: 0 2 1
0167: 0 2 2
0168: 4 5 0
0169: 0 2 1
0170: 0 2 0
0171: 1 0 4
0172: 0 2 1
0173: 0 2 2
0174: 2 3 1
0175: 0 2 1
0176: 0 2 0
0177: 1 0 3
0178: 0 2 1
0179: 0 2 2
0180: 2 3 0
0181: 0 2 1
0182: 0 2 0
0183: 1 0 4
0184: 0 2 1
0185: 0 2 2
0186: 3 4 1
0187: 0 2 1
0188: 0 2 0
0189: 1 0 3
0190: 0 2 1
0191: 0 2 2
0192: 2 3 1
0193: 0 2 1
0194: 0 2 0
0195: 1 0 4
0196: 0 2 1
0197: 0 2 2
0198: 2 3 2
0199: 0 2 1
0200: 0 2 0
0201: 1 0 3
0202: 0 2 1
0203: 0 2 2
0204: 5 1 0
0205: 0 2 1
0206: 1 0 4
0207: 0 2 2
0208: 2 3 1
0209: 0 2 1
0210: 1 0 3
0211: 0 2 2
0212: 2 3 0
0213: 0 2 1
0214: 1 0 4
0215: 0 2 2
0216: 3 4 0
0217: 0 2 1
0218: 1 0 3
0219: 0 2 2
0220: 2 3 1
0221: 0 2 1
0222: 1 0 4
0223: 0 2 2
0224: 2 3 2
0225: 0 2 1
0226: 1 0 3
