Algorithm Performed: DFS
Time Elapsed: 1.67 sec
Expanded Nodes: 6188
Memory Usage at peak: 8.0725 MB
Solution Steps: 5911 steps

0001: 0 2 2
0002: 2 0 3
0003: 0 2 1
0004: 7 3 0
0005: 0 2 0
0006: 2 0 4
0007: 0 2 1
0008: 0 2 2
0009: 2 0 3
0010: 11 1 4
0011: 0 2 1
0012: 0 2 0
0013: 2 0 4
0014: 0 2 1
0015: 0 2 2
0016: 4 3 2
0017: 0 2 1
0018: 0 2 0
0019: 2 0 3
0020: 0 2 1
0021: 0 2 2
0022: 7 2 0
0023: 0 2 1
0024: 2 0 4
0025: 0 2 2
0026: 4 3 1
0027: 0 2 1
0028: 2 0 3
0029: 0 2 2
0030: 12 0 5
0031: 0 2 1
0032: 4 3 2
0033: 0 2 2
0034: 4 3 3
0035: 0 2 1
0036: 7 3 0
0037: 0 2 0
0038: 4 3 2
0039: 0 2 1
0040: 0 2 2
0041: 4 3 1
0042: 0 2 1
0043: 0 2 0
0044: 9 1 2
0045: 1 0 1
0046: 4 3 2
0047: 1 0 0
0048: 2 0 2
0049: 4 3 1
0050: 11 0 4
0051: 4 3 2
0052: 4 3 3
0053: 8 3 1
0054: 4 3 2
0055: 11 1 4
0056: 2 0 3
0057: 1 0 1
0058: 4 3 3
0059: 1 0 0
0060: 2 0 2
0061: 8 4 1
0062: 2 0 3
0063: 1 0 1
0064: 9 2 2
0065: 1 0 0
0066: 2 0 2
0067: 3 1 1
0068: 2 0 3
0069: 1 0 1
0070: 3 1 2
0071: 1 0 0
0072: 2 0 2
0073: 8 3 1
0074: 2 0 3
0075: 1 0 1
0076: 3 1 1
0077: 1 0 0
0078: 2 0 2
0079: 3 1 0
0080: 2 0 3
0081: 1 0 1
0082: 9 3 2
0083: 0 2 1
0084: 0 2 2
0085: 1 0 0
0086: 0 2 1
0087: 0 2 0
0088: 2 0 2
0089: 0 2 1
0090: 0 2 2
0091: 3 1 1
0092: 0 2 1
0093: 0 2 0
0094: 2 0 3
0095: 0 2 1
0096: 0 2 2
0097: 1 0 1
0098: 0 2 1
0099: 0 2 0
0100: 3 1 2
0101: 0 2 1
0102: 0 2 2
0103: 1 0 0
0104: 0 2 1
0105: 0 2 0
0106: 2 0 2
0107: 0 2 1
0108: 0 2 2
0109: 7 2 0
0110: 0 2 1
0111: 2 0 3
0112: 0 2 2
0113: 1 0 1
0114: 0 2 1
0115: 3 1 1
0116: 0 2 2
0117: 1 0 0
0118: 0 2 1
0119: 2 0 2
0120: 0 2 2
0121: 3 1 0
0122: 0 2 1
0123: 2 0 3
0124: 0 2 2
0125: 1 0 1
0126: 0 2 1
0127: 8 4 1
0128: 0 2 2
0129: 1 0 0
0130: 0 2 1
0131: 2 0 2
0132: 0 2 2
0133: 3 1 1
0134: 0 2 1
0135: 2 0 3
0136: 0 2 2
0137: 1 0 1
0138: 0 2 1
0139: 3 1 2
0140: 0 2 2
0141: 1 0 0
0142: 0 2 1
0143: 2 0 2
0144: 0 2 2
0145: 7 1 0
0146: 0 2 1
0147: 2 0 3
0148: 0 2 2
0149: 1 0 1
0150: 0 2 1
0151: 3 1 1
0152: 0 2 2
0153: 1 0 0
0154: 0 2 1
0155: 2 0 2
0156: 0 2 2
0157: 8 3 1
0158: 0 2 1
0159: 2 0 3
0160: 0 2 2
0161: 1 0 1
0162: 0 2 1
0163: 3 1 2
0164: 0 2 2
0165: 1 0 0
0166: 0 2 1
0167: 2 0 2
0168: 0 2 2
0169: 8 2 1
0170: 2 0 3
0171: 1 0 1
0172: 3 1 1
0173: 1 0 0
0174: 2 0 2
0175: 7 2 0
0176: 2 0 3
0177: 1 0 1
0178: 3 1 0
0179: 1 0 0
0180: 2 0 2
0181: 7 3 0
0182: 2 0 3
0183: 1 0 1
0184: 3 1 1
0185: 1 0 0
0186: 2 0 2
0187: 3 1 2
0188: 2 0 3
0189: 1 0 1
0190: 7 2 0
0191: 1 0 0
0192: 2 0 2
0193: 8 1 1
0194: 2 0 3
0195: 1 0 1
0196: 7 1 0
0197: 1 0 0
0198: 2 0 2
0199: 9 4 2
0200: 2 0 3
0201: 1 0 1
0202: 4 3 2
0203: 1 0 0
0204: 2 0 2
0205: 4 3 1
0206: 2 0 3
