Algorithm Performed: DFS
Time Elapsed: 0.07 sec
Expanded Nodes: 519
Memory Usage at peak: 598.3000 KB
Solution Steps: 457 steps

001: 0 2 0
002: 1 3 0
003: 0 2 1
004: 2 5 3
005: 0 2 0
006: 1 3 1
007: 0 2 1
008: 4 1 3
009: 0 2 0
010: 1 3 0
011: 0 2 1
012: 2 5 2
013: 0 2 0
014: 1 3 1
015: 0 2 1
016: 4 0 3
017: 0 2 0
018: 1 3 0
019: 0 2 1
020: 2 5 3
021: 0 2 0
022: 1 3 1
023: 0 2 1
024: 1 3 2
025: 0 2 0
026: 1 3 3
027: 0 2 1
028: 2 5 2
029: 0 2 0
030: 1 3 2
031: 0 2 1
032: 3 3 1
033: 0 2 0
034: 1 3 3
035: 0 2 1
036: 2 5 1
037: 0 2 0
038: 1 3 2
039: 0 2 1
040: 2 5 0
041: 0 2 0
042: 1 3 3
043: 0 2 1
044: 5 2 5
045: 0 2 0
046: 1 3 2
047: 0 2 1
048: 2 5 1
049: 0 2 0
050: 1 3 3
051: 0 2 1
052: 2 5 2
053: 0 2 0
054: 1 3 2
055: 0 2 1
056: 2 5 3
057: 0 2 0
058: 1 3 3
059: 0 2 1
060: 2 5 4
061: 0 2 0
062: 1 3 2
063: 0 2 1
064: 3 4 1
065: 0 2 0
066: 1 3 1
067: 0 2 1
068: 1 3 0
069: 0 2 0
070: 2 5 3
071: 0 2 1
072: 1 3 1
073: 0 2 0
074: 1 3 2
075: 0 2 1
076: 1 3 3
077: 0 2 0
078: 2 5 2
079: 0 2 1
080: 1 3 2
081: 0 2 0
082: 1 3 1
083: 0 2 1
084: 1 3 0
085: 0 2 0
086: 4 1 3
087: 0 2 1
088: 1 3 1
089: 0 2 0
090: 2 5 3
091: 0 2 1
092: 1 3 0
093: 0 2 0
094: 2 5 4
095: 0 2 1
096: 1 3 1
097: 0 2 0
098: 4 2 3
099: 0 2 1
100: 1 3 0
101: 0 2 0
102: 2 5 3
103: 0 2 1
104: 1 3 1
105: 0 2 0
106: 2 5 2
107: 0 2 1
108: 1 3 0
109: 0 2 0
110: 5 1 5
111: 0 2 1
112: 1 3 1
113: 0 2 0
114: 2 5 3
115: 0 2 1
116: 1 3 0
117: 0 2 0
118: 2 5 4
119: 0 2 1
120: 1 3 1
121: 0 2 0
122: 4 1 3
123: 0 2 1
124: 1 3 0
125: 0 2 0
126: 2 5 3
127: 0 2 1
128: 1 3 1
129: 0 2 0
130: 2 5 2
131: 0 2 1
132: 1 3 0
133: 0 2 0
134: 4 0 3
135: 0 2 1
136: 1 3 1
137: 0 2 0
138: 1 3 2
139: 0 2 1
140: 1 3 3
141: 0 2 0
142: 2 5 3
143: 0 2 1
144: 1 3 2
145: 0 2 0
146: 1 3 1
147: 0 2 1
148: 1 3 0
149: 0 2 0
150: 2 5 4
151: 0 2 1
152: 1 3 1
153: 0 2 0
154: 1 3 2
155: 0 2 1
156: 1 3 3
157: 0 2 0
158: 3 3 1
159: 0 2 1
160: 1 3 2
161: 0 2 0
162: 2 5 3
163: 0 2 1
164: 1 3 3
165: 0 2 0
166: 2 5 2
167: 0 2 1
168: 1 3 2
169: 0 2 0
170: 2 5 1
171: 0 2 1
172: 1 3 3
173: 0 2 0
174: 2 5 0
175: 0 2 1
176: 1 3 2
177: 0 2 0
178: 5 0 5
179: 0 2 1
180: 1 3 3
181: 0 2 0
182: 1 3 4
183: 0 2 1
184: 2 5 1
185: 0 2 0
186: 1 3 3
187: 0 2 1
188: 1 3 2
189: 0 2 0
190: 2 5 2
191: 0 2 1
192: 1 3 3
193: 0 2 0
194: 1 3 4
195: 0 2 1
196: 2 5 3
197: 0 2 0
198: 1 3 3
199: 0 2 1
200: 1 3 2
201: 0 2 0
202: 2 5 4
203: 0 2 1
204: 1 3 3
205: 0 2 0
206: 1 3 4
207: 0 2 1
208: 3 4 1
209: 0 2 0
210: 1 3 3
211: 0 2 1
212: 1 3 2
213: 0 2 0
214: 1 3 1
215: 0 2 1
216: 1 3 0
217: 0 2 0
218: 2 5 3
219: 0 2 1
220: 1 3 1
221: 0 2 0
222: 1 3 2
223: 0 2 1
224: 1 3 3
225: 0 2 0
226: 1 3 4
227: 0 2 1
228: 2 5 2
229: 0 2 0
230: 4 1 3
231: 0 2 1
232: 2 5 3
233: 0 2 0
234: 2 5 4
235: 0 2 1
236: 3 3 1
237: 0 2 0
238: 2 5 3
239: 0 2 1
240: 2 5 2
241: 0 2 0
242: 2 5 1
243: 0 2 1
244: 2 5 0
245: 0 2 0
246: 4 2 3
247: 0 2 1
248: 2 5 1
249: 0 2 0
250: 2 5 2
251: 0 2 1
252: 2 5 3
253: 0 2 0
254: 2 5 4
255: 0 2 1
256: 3 4 1
257: 0 2 0
258: 4 3 3
259: 0 2 1
260: 0 2 2
261: 0 2 3
262: 3 3 1
263: 0 2 2
264: 3 2 1
265: 0 2 3
266: 3 1 1
267: 0 2 2
268: 3 0 1
269: 0 2 1
270: 0 2 0
271: 4 2 3
272: 0 2 1
273: 2 5 3
274: 0 2 0
275: 2 5 2
276: 0 2 1
277: 2 5 1
278: 0 2 0
279: 2 5 0
280: 0 2 1
281: 4 1 3
282: 0 2 0
283: 2 5 1
284: 0 2 1
285: 2 5 2
286: 0 2 0
287: 2 5 3
288: 0 2 1
289: 2 5 4
290: 0 2 0
291: 4 0 3
292: 0 2 1
293: 1 3 3
294: 0 2 0
295: 1 3 2
296: 0 2 1
297: 1 3 1
298: 0 2 0
299: 1 3 0
300: 0 2 1
301: 2 5 3
302: 0 2 0
303: 1 3 1
304: 0 2 1
305: 1 3 2
306: 0 2 0
307: 1 3 3
308: 0 2 1
309: 1 3 4
310: 0 2 0
311: 2 5 2
312: 0 2 1
313: 1 3 3
314: 0 2 0
315: 1 3 2
316: 0 2 1
317: 1 3 1
318: 0 2 0
319: 1 3 0
320: 0 2 1
321: 2 5 1
322: 0 2 0
323: 1 3 1
324: 0 2 1
325: 1 3 2
326: 0 2 0
327: 1 3 3
328: 0 2 1
329: 1 3 4
330: 0 2 0
331: 2 5 0
332: 0 2 1
333: 1 3 3
334: 0 2 0
335: 1 3 2
336: 0 2 1
337: 1 3 1
338: 0 2 0
339: 1 3 0
340: 0 2 1
341: 4 1 3
342: 0 2 0
343: 1 3 1
344: 0 2 1
345: 2 5 1
346: 0 2 0
347: 1 3 0
348: 0 2 1
349: 2 5 2
350: 0 2 0
351: 1 3 1
352: 0 2 1
353: 2 5 3
354: 0 2 0
355: 1 3 0
356: 0 2 1
357: 2 5 4
358: 0 2 0
359: 1 3 1
360: 0 2 1
361: 4 2 3
362: 0 2 0
363: 1 3 0
364: 0 2 1
365: 2 5 3
366: 0 2 0
367: 1 3 1
368: 0 2 1
369: 2 5 2
370: 0 2 0
371: 1 3 0
372: 0 2 1
373: 2 5 1
374: 0 2 0
375: 1 3 1
376: 0 2 1
377: 2 5 0
378: 0 2 0
379: 1 3 0
380: 0 2 1
381: 4 3 3
382: 0 2 0
383: 1 3 1
384: 0 2 1
385: 0 2 2
386: 0 2 3
387: 1 3 0
388: 0 2 2
389: 2 5 1
390: 0 2 1
391: 0 2 0
392: 1 3 1
393: 0 2 1
394: 0 2 2
395: 0 2 3
396: 1 3 0
397: 3 1 1
398: 0 2 2
399: 1 3 1
400: 0 2 3
401: 2 5 0
402: 0 2 2
403: 1 3 0
404: 0 2 3
405: 5 1 5
406: 0 2 2
407: 1 3 1
408: 0 2 3
409: 2 5 1
410: 0 2 2
411: 1 3 0
412: 0 2 3
413: 3 0 1
414: 0 2 2
415: 0 2 1
416: 0 2 0
417: 1 3 1
418: 0 2 1
419: 0 2 2
420: 0 2 3
421: 2 5 0
422: 0 2 2
423: 0 2 1
424: 0 2 0
425: 1 3 0
426: 0 2 1
427: 0 2 2
428: 0 2 3
429: 5 2 5
430: 0 2 2
431: 0 2 1
432: 0 2 0
433: 1 3 1
434: 0 2 1
435: 0 2 2
436: 0 2 3
437: 2 5 1
438: 0 2 2
439: 0 2 1
440: 0 2 0
441: 1 3 0
442: 0 2 1
443: 0 2 2
444: 0 2 3
445: 3 1 1
446: 0 2 2
447: 1 3 1
448: 0 2 3
449: 2 5 0
450: 0 2 2
451: 1 3 0
452: 0 2 3
453: 5 3 5
454: 0 2 2
455: 1 3 1
456: 0 2 3
457: 0 2 4
