Algorithm Performed: DFS
Time Elapsed: 0.20 sec
Expanded Nodes: 809
Memory Usage at peak: 923.6960 KB
Solution Steps: 702 steps

001: 3 3 3
002: 2 3 1
003: 5 5 3
004: 2 3 0
005: 3 3 2
006: 4 5 1
007: 3 3 3
008: 2 3 1
009: 6 1 0
010: 4 5 0
011: 5 5 2
012: 6 2 0
013: 5 5 3
014: 4 5 1
015: 6 3 0
016: 0 2 0
017: 7 1 2
018: 1 0 2
019: 1 0 1
020: 1 0 0
021: 8 0 3
022: 9 2 5
023: 5 5 4
024: 4 5 2
025: 8 1 3
026: 1 0 1
027: 1 0 2
028: 1 0 3
029: 4 5 1
030: 1 0 2
031: 1 0 1
032: 1 0 0
033: 5 5 3
034: 1 0 1
035: 1 0 2
036: 1 0 3
037: 7 0 2
038: 0 2 1
039: 5 5 4
040: 0 2 0
041: 4 5 2
042: 0 2 1
043: 6 2 0
044: 4 5 1
045: 4 5 0
046: 5 5 3
047: 4 5 1
048: 6 1 0
049: 4 5 0
050: 5 5 2
051: 6 0 0
052: 2 3 0
053: 3 3 2
054: 5 5 3
055: 3 3 3
056: 2 3 1
057: 4 5 1
058: 2 3 0
059: 3 3 2
060: 5 5 4
061: 3 3 3
062: 2 3 1
063: 4 5 0
064: 2 3 0
065: 3 3 2
066: 9 1 5
067: 3 3 3
068: 2 3 1
069: 4 5 1
070: 2 3 0
071: 3 3 2
072: 4 5 2
073: 3 3 3
074: 2 3 1
075: 6 1 0
076: 4 5 1
077: 4 5 0
078: 5 5 3
079: 4 5 1
080: 6 0 0
081: 2 3 0
082: 3 3 2
083: 4 5 0
084: 3 3 3
085: 2 3 1
086: 5 5 2
087: 6 1 0
088: 6 2 0
089: 5 5 3
090: 4 5 1
091: 5 5 4
092: 4 5 2
093: 6 3 0
094: 0 2 0
095: 4 5 1
096: 0 2 1
097: 5 5 3
098: 0 2 0
099: 7 1 2
100: 1 0 2
101: 1 0 1
102: 1 0 0
103: 5 5 4
104: 1 0 1
105: 1 0 2
106: 1 0 3
107: 4 5 2
108: 1 0 2
109: 1 0 1
110: 1 0 0
111: 8 0 3
112: 4 5 1
113: 5 5 3
114: 9 0 5
115: 3 3 4
116: 2 3 2
117: 5 5 4
118: 2 3 1
119: 3 3 3
120: 4 5 2
121: 3 3 4
122: 2 3 2
123: 8 1 3
124: 1 0 1
125: 1 0 2
126: 2 3 1
127: 1 0 1
128: 1 0 0
129: 3 3 3
130: 1 0 1
131: 1 0 2
132: 4 5 1
133: 1 0 1
134: 1 0 0
135: 3 3 4
136: 1 0 1
137: 1 0 2
138: 2 3 2
139: 1 0 1
140: 1 0 0
141: 5 5 3
142: 1 0 1
143: 1 0 2
144: 2 3 1
145: 1 0 1
146: 1 0 0
147: 8 2 3
148: 1 0 1
149: 1 0 2
150: 5 5 4
151: 1 0 1
152: 1 0 0
153: 4 5 2
154: 1 0 1
155: 1 0 2
156: 8 3 3
157: 1 0 1
158: 1 0 0
159: 4 5 1
160: 1 0 1
161: 1 0 2
162: 8 4 3
163: 1 0 1
164: 1 0 0
165: 3 3 3
166: 1 0 1
167: 1 0 2
168: 9 1 5
169: 1 0 1
170: 1 0 0
171: 9 2 5
172: 1 0 1
173: 1 0 2
174: 1 0 3
175: 7 0 2
176: 0 2 1
177: 0 2 2
178: 0 2 3
179: 6 2 0
180: 0 2 2
181: 0 2 1
182: 4 5 0
183: 0 2 2
184: 0 2 3
185: 6 1 0
186: 0 2 2
187: 0 2 1
188: 4 5 1
189: 0 2 2
190: 0 2 3
191: 6 0 0
192: 0 2 2
193: 0 2 1
194: 2 3 0
195: 0 2 2
196: 0 2 3
197: 3 3 2
198: 0 2 2
199: 0 2 1
200: 4 5 0
201: 0 2 2
202: 0 2 3
203: 3 3 3
204: 0 2 2
205: 0 2 1
206: 2 3 1
207: 0 2 2
208: 0 2 3
209: 7 1 2
210: 1 0 2
211: 1 0 1
212: 2 3 0
213: 1 0 2
214: 1 0 3
215: 3 3 2
216: 1 0 2
217: 1 0 1
218: 4 5 1
219: 1 0 2
220: 1 0 3
221: 3 3 3
222: 1 0 2
223: 1 0 1
224: 2 3 1
225: 1 0 2
226: 1 0 3
227: 6 1 0
228: 1 0 2
229: 1 0 1
230: 1 0 0
231: 4 5 0
232: 1 0 1
233: 1 0 2
234: 1 0 3
235: 6 2 0
236: 1 0 2
237: 1 0 1
238: 1 0 0
239: 4 5 1
240: 1 0 1
241: 1 0 2
242: 1 0 3
243: 6 3 0
244: 1 0 2
245: 1 0 1
246: 1 0 0
247: 9 1 5
248: 1 0 1
249: 1 0 2
250: 1 0 3
251: 6 2 0
252: 1 0 2
253: 1 0 1
254: 1 0 0
255: 4 5 0
256: 1 0 1
257: 1 0 2
258: 1 0 3
259: 6 1 0
260: 1 0 2
261: 1 0 1
262: 1 0 0
263: 4 5 1
264: 1 0 1
265: 1 0 2
266: 1 0 3
267: 6 0 0
268: 1 0 2
269: 1 0 1
270: 2 3 0
271: 1 0 2
272: 1 0 3
273: 3 3 2
274: 1 0 2
275: 1 0 1
276: 4 5 0
277: 1 0 2
278: 1 0 3
279: 3 3 3
280: 1 0 2
281: 1 0 1
282: 2 3 1
283: 1 0 2
284: 9 0 5
285: 1 0 1
286: 2 3 0
287: 1 0 2
288: 3 3 2
289: 1 0 1
290: 4 5 1
291: 1 0 2
292: 3 3 3
293: 1 0 1
294: 2 3 1
295: 1 0 2
296: 3 3 4
297: 1 0 1
298: 2 3 0
299: 1 0 2
300: 4 5 0
301: 1 0 1
302: 2 3 1
303: 1 0 2
304: 2 3 2
305: 1 0 1
306: 4 5 1
307: 1 0 2
308: 6 1 0
309: 1 0 1
310: 1 0 0
311: 2 3 1
312: 1 0 1
313: 1 0 2
314: 3 3 3
315: 1 0 1
316: 1 0 0
317: 4 5 0
318: 1 0 1
319: 1 0 2
320: 3 3 4
321: 1 0 1
322: 1 0 0
323: 2 3 2
324: 1 0 1
325: 1 0 2
326: 6 2 0
327: 1 0 1
328: 1 0 0
329: 2 3 1
330: 1 0 1
331: 1 0 2
332: 3 3 3
333: 1 0 1
334: 1 0 0
335: 4 5 1
336: 1 0 1
337: 1 0 2
338: 3 3 4
339: 1 0 1
340: 1 0 0
341: 2 3 2
342: 1 0 1
343: 1 0 2
344: 6 3 0
345: 1 0 1
346: 1 0 0
347: 2 3 1
348: 1 0 1
349: 1 0 2
350: 8 3 3
351: 1 0 1
352: 1 0 0
353: 4 5 2
354: 1 0 1
355: 1 0 2
356: 6 2 0
357: 1 0 1
358: 1 0 0
359: 4 5 1
360: 1 0 1
361: 1 0 2
362: 4 5 0
363: 1 0 1
364: 1 0 0
365: 5 5 3
366: 1 0 1
367: 1 0 2
368: 4 5 1
369: 1 0 1
370: 1 0 0
371: 6 1 0
372: 1 0 1
373: 1 0 2
374: 4 5 0
375: 1 0 1
376: 1 0 0
377: 5 5 2
378: 1 0 1
379: 1 0 2
380: 6 0 0
381: 1 0 1
382: 2 3 0
383: 1 0 2
384: 5 5 3
385: 1 0 1
386: 2 3 1
387: 1 0 2
388: 4 5 1
389: 1 0 1
390: 2 3 0
391: 1 0 2
392: 5 5 4
393: 1 0 1
394: 2 3 1
395: 1 0 2
396: 4 5 0
397: 1 0 1
398: 2 3 0
399: 1 0 2
400: 7 2 2
401: 1 0 1
402: 4 5 1
403: 1 0 2
404: 4 5 2
405: 1 0 1
406: 7 3 2
407: 0 2 2
408: 0 2 1
409: 1 0 2
410: 0 2 2
411: 0 2 3
412: 4 5 1
413: 0 2 2
414: 0 2 1
415: 1 0 1
416: 0 2 2
417: 0 2 3
418: 4 5 0
419: 0 2 2
420: 0 2 1
421: 1 0 2
422: 0 2 2
423: 0 2 3
424: 5 5 3
425: 0 2 2
426: 0 2 1
427: 1 0 1
428: 0 2 2
429: 0 2 3
430: 4 5 1
431: 0 2 2
432: 0 2 1
433: 1 0 2
434: 0 2 2
435: 0 2 3
436: 7 2 2
437: 1 0 1
438: 4 5 0
439: 1 0 2
440: 5 5 2
441: 1 0 1
442: 7 3 2
443: 0 2 2
444: 0 2 1
445: 1 0 2
446: 8 2 3
447: 1 0 1
448: 5 5 3
449: 1 0 2
450: 4 5 1
451: 1 0 1
452: 5 5 4
453: 1 0 2
454: 4 5 0
455: 1 0 1
456: 7 4 2
457: 1 0 2
458: 2 3 1
459: 1 0 1
460: 5 5 3
461: 1 0 2
462: 2 3 0
463: 1 0 1
464: 8 1 3
465: 1 0 2
466: 2 3 1
467: 1 0 1
468: 2 3 2
469: 1 0 2
470: 5 5 4
471: 1 0 1
472: 2 3 1
473: 1 0 2
474: 2 3 0
475: 1 0 1
476: 3 3 3
477: 1 0 2
478: 2 3 1
479: 1 0 1
480: 5 5 3
481: 1 0 2
482: 2 3 0
483: 1 0 1
484: 3 3 2
485: 1 0 2
486: 5 5 4
487: 1 0 1
488: 9 1 5
489: 1 0 2
490: 1 0 3
491: 3 3 3
492: 1 0 2
493: 1 0 1
494: 2 3 1
495: 1 0 2
496: 1 0 3
497: 5 5 3
498: 1 0 2
499: 1 0 1
500: 2 3 0
501: 1 0 2
502: 1 0 3
503: 3 3 2
504: 1 0 2
505: 1 0 1
506: 9 2 5
507: 1 0 2
508: 1 0 3
509: 3 3 3
510: 1 0 2
511: 1 0 1
512: 2 3 1
513: 1 0 2
514: 1 0 3
515: 5 5 4
516: 1 0 2
517: 1 0 1
518: 2 3 0
519: 1 0 2
520: 1 0 3
521: 7 3 2
522: 1 0 2
523: 1 0 1
524: 4 5 1
525: 1 0 2
526: 1 0 3
527: 4 5 2
528: 1 0 2
529: 1 0 1
530: 9 1 5
531: 1 0 2
532: 1 0 3
533: 4 5 1
534: 1 0 2
535: 1 0 1
536: 4 5 0
537: 1 0 2
538: 1 0 3
539: 5 5 3
540: 1 0 2
541: 1 0 1
542: 4 5 1
543: 1 0 2
544: 1 0 3
545: 9 2 5
546: 1 0 2
547: 1 0 1
548: 4 5 0
549: 1 0 2
550: 1 0 3
551: 5 5 2
552: 1 0 2
553: 1 0 1
554: 9 3 5
555: 1 0 2
556: 1 0 3
557: 5 5 3
558: 1 0 2
559: 1 0 1
560: 7 4 2
561: 1 0 2
562: 1 0 3
563: 2 3 1
564: 1 0 2
565: 1 0 1
566: 6 1 0
567: 1 0 0
568: 6 2 0
569: 1 0 1
570: 1 0 2
571: 1 0 3
572: 6 1 0
573: 1 0 2
574: 9 2 5
575: 1 0 1
576: 1 0 0
577: 5 5 4
578: 1 0 1
579: 1 0 2
580: 1 0 3
581: 5 5 3
582: 6 2 0
583: 1 0 2
584: 1 0 1
585: 1 0 0
586: 5 5 4
587: 1 0 1
588: 1 0 2
589: 1 0 3
590: 9 1 5
591: 1 0 2
592: 1 0 1
593: 1 0 0
594: 5 5 3
595: 1 0 1
596: 1 0 2
597: 1 0 3
598: 6 1 0
599: 1 0 2
600: 1 0 1
601: 1 0 0
602: 5 5 4
603: 1 0 1
604: 1 0 2
605: 9 0 5
606: 1 0 1
607: 1 0 0
608: 3 3 4
609: 1 0 1
610: 1 0 2
611: 2 3 2
612: 1 0 1
613: 1 0 0
614: 5 5 3
615: 1 0 1
616: 1 0 2
617: 2 3 1
618: 1 0 1
619: 1 0 0
620: 3 3 3
621: 1 0 1
622: 1 0 2
623: 6 2 0
624: 1 0 1
625: 1 0 0
626: 3 3 4
627: 1 0 1
628: 1 0 2
629: 2 3 2
630: 1 0 1
631: 1 0 0
632: 5 5 4
633: 1 0 1
634: 1 0 2
635: 2 3 1
636: 1 0 1
637: 1 0 0
638: 3 3 3
639: 8 0 3
640: 0 2 2
641: 0 2 3
642: 3 3 4
643: 0 2 2
644: 0 2 1
645: 2 3 2
646: 0 2 2
647: 0 2 3
648: 5 5 3
649: 0 2 2
650: 0 2 1
651: 2 3 1
652: 0 2 2
653: 0 2 3
654: 3 3 3
655: 0 2 2
656: 0 2 1
657: 6 1 0
658: 0 2 2
659: 0 2 3
660: 3 3 4
661: 0 2 2
662: 0 2 1
663: 2 3 2
664: 0 2 2
665: 0 2 3
666: 5 5 4
667: 0 2 2
668: 0 2 1
669: 2 3 1
670: 0 2 2
671: 0 2 3
672: 3 3 3
673: 0 2 2
674: 0 2 1
675: 9 1 5
676: 0 2 2
677: 0 2 3
678: 5 5 3
679: 0 2 2
680: 0 2 1
681: 6 2 0
682: 0 2 2
683: 0 2 3
684: 5 5 4
685: 0 2 2
686: 0 2 1
687: 9 2 5
688: 0 2 2
689: 0 2 3
690: 5 5 3
691: 0 2 2
692: 0 2 1
693: 6 1 0
694: 0 2 2
695: 0 2 3
696: 9 3 5
697: 0 2 2
698: 0 2 1
699: 6 2 0
700: 0 2 2
701: 0 2 3
702: 0 2 4
