Algorithm Performed: DFS
Time Elapsed: 1.17 sec
Expanded Nodes: 3627
Memory Usage at peak: 3.7940 MB
Solution Steps: 2850 steps

0313: 5 5 1
0314: 1 0 1
0315: 1 0 2
0316: 1 0 3
0317: 4 4 1
0318: 1 0 2
0319: 1 0 1
0320: 1 0 0
0321: 8 0 3
0322: 4 4 2
0323: 5 5 2
0324: 4 4 1
0325: 10 0 5
0326: 4 4 2
0327: 5 5 1
0328: 4 4 1
0329: 8 1 3
0330: 1 0 1
0331: 1 0 2
0332: 4 4 2
0333: 1 0 1
0334: 1 0 0
0335: 5 5 2
0336: 1 0 1
0337: 1 0 2
0338: 4 4 1
0339: 1 0 1
0340: 1 0 0
0341: 9 1 4
0342: 1 0 1
0343: 1 0 2
0344: 4 4 2
0345: 1 0 1
0346: 1 0 0
0347: 4 4 3
0348: 1 0 1
0349: 1 0 2
0350: 5 5 1
0351: 1 0 1
0352: 1 0 0
0353: 4 4 2
0354: 1 0 1
0355: 1 0 2
0356: 4 4 1
0357: 1 0 1
0358: 1 0 0
0359: 8 0 3
0360: 4 4 2
0361: 4 4 3
0362: 5 5 2
0363: 4 4 2
0364: 4 4 1
0365: 11 3 5
0366: 4 4 2
0367: 4 4 3
0368: 5 5 1
0369: 4 4 2
0370: 4 4 1
0371: 8 1 3
0372: 1 0 1
0373: 1 0 2
0374: 4 4 2
0375: 1 0 1
0376: 1 0 0
0377: 4 4 3
0378: 1 0 1
0379: 1 0 2
0380: 5 5 2
0381: 1 0 1
0382: 1 0 0
0383: 4 4 2
0384: 1 0 1
0385: 1 0 2
0386: 4 4 1
0387: 1 0 1
0388: 1 0 0
0389: 5 5 3
0390: 1 0 1
0391: 1 0 2
0392: 4 4 2
0393: 1 0 1
0394: 1 0 0
0395: 4 4 3
0396: 1 0 1
0397: 1 0 2
0398: 10 1 5
0399: 1 0 1
0400: 1 0 0
0401: 4 4 2
0402: 1 0 1
0403: 1 0 2
0404: 1 0 3
0405: 4 4 1
0406: 1 0 2
0407: 1 0 1
0408: 1 0 0
0409: 5 5 2
0410: 1 0 1
0411: 1 0 2
0412: 1 0 3
0413: 4 4 2
0414: 1 0 2
0415: 1 0 1
0416: 1 0 0
0417: 4 4 3
0418: 1 0 1
0419: 1 0 2
0420: 1 0 3
0421: 5 5 1
0422: 1 0 2
0423: 1 0 1
0424: 1 0 0
0425: 4 4 2
0426: 1 0 1
0427: 1 0 2
0428: 1 0 3
0429: 4 4 1
0430: 1 0 2
0431: 1 0 1
0432: 1 0 0
0433: 8 0 3
0434: 4 4 2
0435: 4 4 3
0436: 5 5 2
0437: 4 4 2
0438: 4 4 1
0439: 5 5 3
0440: 4 4 2
0441: 4 4 3
0442: 9 0 4
0443: 3 3 3
0444: 2 3 1
0445: 4 4 2
0446: 2 3 0
0447: 3 3 2
0448: 4 4 1
0449: 3 3 3
0450: 2 3 1
0451: 5 5 2
0452: 2 3 0
0453: 3 3 2
0454: 4 4 2
0455: 3 3 3
0456: 2 3 1
0457: 4 4 3
0458: 2 3 0
0459: 3 3 2
0460: 5 5 1
0461: 3 3 3
0462: 2 3 1
0463: 4 4 2
0464: 2 3 0
0465: 3 3 2
0466: 4 4 1
0467: 3 3 3
0468: 2 3 1
0469: 6 3 0
0470: 4 4 2
0471: 4 4 3
0472: 5 5 0
0473: 4 4 2
0474: 4 4 1
0475: 8 1 3
0476: 1 0 1
0477: 4 4 2
0478: 1 0 0
0479: 4 4 3
0480: 1 0 1
0481: 5 5 1
0482: 1 0 0
0483: 4 4 2
0484: 1 0 1
0485: 4 4 1
0486: 1 0 0
0487: 5 5 2
0488: 1 0 1
0489: 4 4 2
0490: 1 0 0
0491: 4 4 3
0492: 1 0 1
0493: 5 5 3
0494: 1 0 0
0495: 4 4 2
0496: 1 0 1
0497: 4 4 1
0498: 1 0 0
0499: 6 4 0
0500: 1 0 1
0501: 2 3 0
0502: 1 0 0
0503: 3 3 2
0504: 1 0 1
0505: 4 4 2
0506: 1 0 0
0507: 3 3 3
0508: 1 0 1
0509: 2 3 1
0510: 1 0 0
0511: 4 4 3
0512: 1 0 1
0513: 2 3 0
0514: 1 0 0
0515: 3 3 2
0516: 1 0 1
0517: 5 5 2
0518: 1 0 0
0519: 3 3 3
0520: 1 0 1
0521: 2 3 1
0522: 1 0 0
0523: 4 4 2
0524: 1 0 1
0525: 2 3 0
0526: 1 0 0
0527: 3 3 2
0528: 1 0 1
0529: 4 4 1
0530: 1 0 0
0531: 3 3 3
0532: 1 0 1
0533: 2 3 1
0534: 1 0 0
0535: 5 5 1
0536: 1 0 1
0537: 2 3 0
0538: 1 0 0
0539: 3 3 2
0540: 1 0 1
0541: 4 4 2
0542: 1 0 0
0543: 3 3 3
0544: 1 0 1
0545: 2 3 1
0546: 1 0 0
0547: 4 4 3
0548: 1 0 1
0549: 2 3 0
0550: 1 0 0
0551: 3 3 2
0552: 1 0 1
0553: 10 0 5
0554: 1 0 0
0555: 3 3 3
0556: 1 0 1
0557: 2 3 1
0558: 1 0 0
0559: 4 4 2
0560: 1 0 1
0561: 2 3 0
0562: 1 0 0
0563: 3 3 2
0564: 1 0 1
0565: 4 4 1
0566: 1 0 0
0567: 3 3 3
0568: 1 0 1
0569: 2 3 1
0570: 1 0 0
0571: 5 5 2
0572: 1 0 1
0573: 2 3 0
0574: 1 0 0
0575: 3 3 2
0576: 1 0 1
0577: 4 4 2
0578: 1 0 0
0579: 3 3 3
0580: 1 0 1
0581: 2 3 1
0582: 1 0 0
0583: 4 4 3
0584: 1 0 1
0585: 2 3 0
0586: 1 0 0
0587: 3 3 2
0588: 1 0 1
0589: 5 5 3
0590: 1 0 0
0591: 3 3 3
0592: 1 0 1
0593: 2 3 1
0594: 1 0 0
0595: 4 4 2
0596: 1 0 1
0597: 2 3 0
0598: 1 0 0
0599: 3 3 2
0600: 1 0 1
0601: 4 4 1
0602: 1 0 0
0603: 3 3 3
0604: 1 0 1
0605: 2 3 1
0606: 1 0 0
0607: 6 3 0
0608: 1 0 1
0609: 4 4 2
0610: 1 0 0
0611: 4 4 3
0612: 1 0 1
0613: 5 5 2
0614: 1 0 0
0615: 4 4 2
0616: 1 0 1
0617: 4 4 1
0618: 1 0 0
0619: 5 5 1
0620: 1 0 1
0621: 4 4 2
0622: 1 0 0
0623: 4 4 3
0624: 1 0 1
0625: 5 5 0
0626: 1 0 0
0627: 4 4 2
0628: 1 0 1
0629: 4 4 1
0630: 1 0 0
0631: 8 0 3
0632: 4 4 2
0633: 4 4 3
0634: 5 5 1
0635: 4 4 2
0636: 4 4 1
0637: 5 5 2
0638: 4 4 2
0639: 4 4 3
0640: 5 5 3
0641: 4 4 2
0642: 4 4 1
0643: 6 4 0
0644: 2 3 0
0645: 3 3 2
0646: 4 4 2
0647: 3 3 3
0648: 2 3 1
0649: 4 4 3
0650: 2 3 0
0651: 3 3 2
0652: 5 5 2
0653: 3 3 3
0654: 2 3 1
0655: 4 4 2
0656: 2 3 0
0657: 3 3 2
0658: 4 4 1
0659: 3 3 3
0660: 2 3 1
0661: 5 5 1
0662: 2 3 0
0663: 3 3 2
0664: 4 4 2
0665: 3 3 3
0666: 2 3 1
0667: 4 4 3
0668: 2 3 0
0669: 3 3 2
0670: 11 2 5
0671: 3 3 3
0672: 2 3 1
0673: 4 4 2
0674: 2 3 0
0675: 3 3 2
0676: 4 4 1
0677: 3 3 3
0678: 2 3 1
0679: 5 5 2
0680: 2 3 0
0681: 3 3 2
0682: 4 4 2
0683: 3 3 3
0684: 2 3 1
0685: 4 4 3
0686: 2 3 0
0687: 3 3 2
0688: 4 4 4
0689: 3 3 3
0690: 2 3 1
0691: 5 5 1
0692: 2 3 0
0693: 3 3 2
0694: 8 1 3
0695: 1 0 1
0696: 3 3 3
0697: 1 0 0
0698: 2 3 1
0699: 1 0 1
0700: 4 4 3
0701: 1 0 0
0702: 2 3 0
0703: 1 0 1
0704: 3 3 2
0705: 1 0 0
0706: 4 4 2
0707: 1 0 1
0708: 3 3 3
0709: 1 0 0
0710: 2 3 1
0711: 1 0 1
0712: 4 4 1
0713: 1 0 0
0714: 2 3 0
0715: 1 0 1
0716: 3 3 2
0717: 1 0 0
0718: 5 5 2
0719: 1 0 1
0720: 3 3 3
0721: 1 0 0
0722: 2 3 1
0723: 1 0 1
0724: 4 4 2
0725: 1 0 0
0726: 2 3 0
0727: 1 0 1
0728: 3 3 2
0729: 1 0 0
0730: 4 4 3
0731: 1 0 1
0732: 3 3 3
0733: 1 0 0
0734: 2 3 1
0735: 1 0 1
0736: 4 4 4
0737: 1 0 0
0738: 2 3 0
0739: 1 0 1
0740: 3 3 2
0741: 1 0 0
0742: 5 5 3
0743: 1 0 1
0744: 3 3 3
0745: 1 0 0
0746: 2 3 1
0747: 1 0 1
0748: 4 4 3
0749: 1 0 0
0750: 2 3 0
0751: 1 0 1
0752: 3 3 2
0753: 1 0 0
0754: 4 4 2
0755: 1 0 1
0756: 3 3 3
0757: 1 0 0
0758: 2 3 1
0759: 1 0 1
0760: 4 4 1
0761: 1 0 0
0762: 2 3 0
0763: 1 0 1
0764: 3 3 2
0765: 1 0 0
0766: 8 0 3
0767: 3 3 3
0768: 2 3 1
0769: 4 4 2
0770: 2 3 0
0771: 3 3 2
0772: 4 4 3
0773: 3 3 3
0774: 2 3 1
0775: 4 4 4
0776: 2 3 0
0777: 3 3 2
0778: 9 1 4
0779: 4 4 3
0780: 4 4 2
0781: 4 4 1
0782: 5 5 2
0783: 4 4 2
0784: 4 4 3
0785: 4 4 4
0786: 5 5 1
0787: 4 4 3
0788: 4 4 2
0789: 4 4 1
0790: 8 1 3
0791: 1 0 1
0792: 1 0 2
0793: 4 4 2
0794: 1 0 1
0795: 1 0 0
0796: 4 4 3
0797: 1 0 1
0798: 1 0 2
0799: 4 4 4
0800: 1 0 1
0801: 1 0 0
0802: 5 5 2
0803: 1 0 1
0804: 1 0 2
0805: 4 4 3
0806: 1 0 1
0807: 1 0 0
0808: 4 4 2
0809: 1 0 1
0810: 1 0 2
0811: 4 4 1
0812: 1 0 1
0813: 1 0 0
0814: 5 5 3
0815: 1 0 1
0816: 1 0 2
0817: 4 4 2
0818: 1 0 1
0819: 1 0 0
0820: 9 2 4
0821: 1 0 1
0822: 1 0 2
0823: 4 4 1
0824: 1 0 1
0825: 1 0 0
0826: 5 5 2
0827: 1 0 1
0828: 1 0 2
0829: 4 4 2
0830: 1 0 1
0831: 1 0 0
0832: 5 5 1
0833: 1 0 1
0834: 1 0 2
0835: 4 4 1
0836: 1 0 1
0837: 1 0 0
0838: 8 0 3
0839: 4 4 2
0840: 5 5 2
0841: 4 4 1
0842: 5 5 3
0843: 4 4 2
0844: 11 3 5
0845: 4 4 1
0846: 5 5 2
0847: 4 4 2
0848: 5 5 1
0849: 4 4 1
0850: 8 1 3
0851: 1 0 1
0852: 1 0 2
0853: 4 4 2
0854: 1 0 1
0855: 1 0 0
0856: 5 5 2
0857: 1 0 1
0858: 1 0 2
0859: 4 4 1
0860: 1 0 1
0861: 1 0 0
0862: 5 5 3
0863: 1 0 1
0864: 1 0 2
0865: 4 4 2
0866: 1 0 1
0867: 1 0 0
0868: 10 1 5
0869: 1 0 1
0870: 1 0 2
0871: 1 0 3
0872: 4 4 1
0873: 1 0 2
0874: 1 0 1
0875: 1 0 0
0876: 5 5 2
0877: 1 0 1
0878: 1 0 2
0879: 1 0 3
0880: 4 4 2
0881: 1 0 2
0882: 1 0 1
0883: 1 0 0
0884: 5 5 1
0885: 1 0 1
0886: 1 0 2
0887: 1 0 3
0888: 4 4 1
0889: 1 0 2
0890: 1 0 1
0891: 1 0 0
0892: 8 0 3
0893: 4 4 2
0894: 9 3 4
0895: 4 4 1
0896: 8 1 3
0897: 1 0 1
0898: 1 0 2
0899: 1 0 3
0900: 4 4 2
0901: 1 0 2
0902: 1 0 1
0903: 1 0 0
0904: 10 0 5
0905: 1 0 1
0906: 1 0 2
0907: 4 4 1
0908: 1 0 1
0909: 1 0 0
0910: 8 0 3
0911: 4 4 2
0912: 11 4 5
0913: 4 4 1
0914: 8 1 3
0915: 1 0 1
0916: 1 0 2
0917: 4 4 2
0918: 1 0 1
0919: 1 0 0
0920: 10 1 5
0921: 1 0 1
0922: 1 0 2
0923: 1 0 3
0924: 4 4 1
0925: 1 0 2
0926: 1 0 1
0927: 1 0 0
0928: 8 0 3
0929: 4 4 2
0930: 10 2 5
0931: 4 4 1
0932: 8 1 3
0933: 1 0 1
0934: 1 0 2
0935: 1 0 3
0936: 4 4 2
0937: 1 0 2
0938: 1 0 1
0939: 1 0 0
0940: 9 2 4
0941: 1 0 1
0942: 1 0 2
0943: 1 0 3
0944: 4 4 1
0945: 1 0 2
0946: 1 0 1
0947: 1 0 0
0948: 5 5 2
0949: 1 0 1
0950: 1 0 2
0951: 1 0 3
0952: 4 4 2
0953: 1 0 2
0954: 1 0 1
0955: 1 0 0
0956: 8 0 3
0957: 4 4 1
0958: 5 5 1
0959: 4 4 2
0960: 9 1 4
0961: 4 4 1
0962: 5 5 2
0963: 4 4 2
0964: 4 4 3
0965: 5 5 1
0966: 8 1 3
0967: 1 0 1
0968: 1 0 2
0969: 1 0 3
0970: 4 4 2
0971: 1 0 2
0972: 1 0 1
0973: 1 0 0
0974: 4 4 1
0975: 1 0 1
0976: 1 0 2
0977: 1 0 3
0978: 5 5 2
0979: 1 0 2
0980: 1 0 1
0981: 1 0 0
0982: 4 4 2
0983: 1 0 1
0984: 1 0 2
0985: 1 0 3
0986: 4 4 3
0987: 1 0 2
0988: 1 0 1
0989: 1 0 0
0990: 9 0 4
0991: 1 0 1
0992: 3 3 3
0993: 1 0 0
0994: 2 3 1
0995: 1 0 1
0996: 4 4 2
0997: 1 0 0
0998: 2 3 0
0999: 1 0 1
1000: 3 3 2
1001: 1 0 0
1002: 4 4 1
1003: 1 0 1
1004: 3 3 3
1005: 1 0 0
1006: 2 3 1
1007: 1 0 1
1008: 5 5 1
1009: 1 0 0
1010: 2 3 0
1011: 1 0 1
1012: 3 3 2
1013: 1 0 0
1014: 4 4 2
1015: 1 0 1
1016: 3 3 3
1017: 1 0 0
1018: 2 3 1
1019: 1 0 1
1020: 4 4 3
1021: 1 0 0
1022: 2 3 0
1023: 1 0 1
1024: 3 3 2
1025: 1 0 0
1026: 8 0 3
1027: 3 3 3
1028: 2 3 1
1029: 4 4 2
1030: 2 3 0
1031: 3 3 2
1032: 4 4 1
1033: 3 3 3
1034: 2 3 1
1035: 5 5 2
1036: 2 3 0
1037: 3 3 2
1038: 4 4 2
1039: 3 3 3
1040: 2 3 1
1041: 4 4 3
1042: 2 3 0
1043: 3 3 2
1044: 10 1 5
1045: 3 3 3
1046: 2 3 1
1047: 3 3 4
1048: 2 3 0
1049: 4 4 2
1050: 2 3 1
1051: 2 3 2
1052: 4 4 3
1053: 5 5 1
1054: 2 3 1
1055: 2 3 0
1056: 3 3 3
1057: 2 3 1
1058: 4 4 2
1059: 2 3 0
1060: 3 3 2
1061: 4 4 3
1062: 8 1 3
1063: 1 0 1
1064: 3 3 3
1065: 1 0 0
1066: 2 3 1
1067: 1 0 1
1068: 3 3 4
1069: 1 0 0
1070: 2 3 0
1071: 1 0 1
1072: 4 4 2
1073: 1 0 0
1074: 2 3 1
1075: 1 0 1
1076: 2 3 2
1077: 1 0 0
1078: 4 4 3
1079: 1 0 1
1080: 5 5 2
1081: 1 0 0
1082: 2 3 1
1083: 1 0 1
1084: 2 3 0
1085: 1 0 0
1086: 3 3 3
1087: 1 0 1
1088: 2 3 1
1089: 1 0 0
1090: 6 3 0
1091: 1 0 1
1092: 3 3 4
1093: 1 0 0
1094: 2 3 2
1095: 1 0 1
1096: 4 4 2
1097: 1 0 0
1098: 2 3 1
1099: 1 0 1
1100: 3 3 3
1101: 1 0 0
1102: 4 4 1
1103: 1 0 1
1104: 3 3 4
1105: 1 0 0
1106: 2 3 2
1107: 1 0 1
1108: 5 5 1
1109: 1 0 0
1110: 2 3 1
1111: 1 0 1
1112: 3 3 3
1113: 1 0 0
1114: 4 4 2
1115: 1 0 1
1116: 3 3 4
1117: 1 0 0
1118: 2 3 2
1119: 1 0 1
1120: 4 4 3
1121: 1 0 0
1122: 2 3 1
1123: 1 0 1
1124: 3 3 3
1125: 1 0 0
1126: 5 5 0
1127: 1 0 1
1128: 3 3 4
1129: 1 0 0
1130: 2 3 2
1131: 1 0 1
1132: 4 4 2
1133: 1 0 0
1134: 2 3 1
1135: 1 0 1
1136: 3 3 3
1137: 1 0 0
1138: 4 4 1
1139: 1 0 1
1140: 3 3 4
1141: 1 0 0
1142: 8 2 3
1143: 1 0 1
1144: 4 4 2
1145: 1 0 0
1146: 4 4 3
1147: 1 0 1
1148: 5 5 1
1149: 1 0 0
1150: 4 4 2
1151: 1 0 1
1152: 4 4 1
1153: 1 0 0
1154: 5 5 2
1155: 1 0 1
1156: 4 4 2
1157: 1 0 0
1158: 4 4 3
1159: 1 0 1
1160: 6 4 0
1161: 1 0 0
1162: 2 3 0
1163: 1 0 1
1164: 4 4 2
1165: 1 0 0
1166: 2 3 1
1167: 1 0 1
1168: 4 4 1
1169: 1 0 0
1170: 2 3 0
1171: 1 0 1
1172: 5 5 1
1173: 1 0 0
1174: 2 3 1
1175: 1 0 1
1176: 4 4 2
1177: 1 0 0
1178: 2 3 0
1179: 1 0 1
1180: 4 4 3
1181: 1 0 0
1182: 7 2 2
1183: 1 0 1
1184: 4 4 2
1185: 1 0 0
1186: 4 4 1
1187: 1 0 1
1188: 5 5 2
1189: 1 0 0
1190: 4 4 2
1191: 1 0 1
1192: 4 4 3
1193: 1 0 0
1194: 7 3 2
1195: 0 2 1
1196: 1 0 1
1197: 0 2 0
1198: 5 5 1
1199: 0 2 1
1200: 1 0 0
1201: 0 2 0
1202: 8 1 3
1203: 0 2 1
1204: 1 0 1
1205: 0 2 0
1206: 3 3 3
1207: 0 2 1
1208: 1 0 0
1209: 0 2 0
1210: 5 5 2
1211: 0 2 1
1212: 1 0 1
1213: 0 2 0
1214: 3 3 4
1215: 0 2 1
1216: 1 0 0
1217: 0 2 0
1218: 7 2 2
1219: 1 0 1
1220: 3 3 3
1221: 1 0 0
1222: 4 4 2
1223: 1 0 1
1224: 3 3 4
1225: 1 0 0
1226: 4 4 1
1227: 1 0 1
1228: 3 3 3
1229: 1 0 0
1230: 5 5 1
1231: 1 0 1
1232: 3 3 4
1233: 1 0 0
1234: 4 4 2
1235: 1 0 1
1236: 3 3 3
1237: 1 0 0
1238: 4 4 3
1239: 1 0 1
1240: 3 3 4
1241: 1 0 0
1242: 8 0 3
1243: 3 3 3
1244: 4 4 2
1245: 3 3 4
1246: 4 4 1
1247: 3 3 3
1248: 5 5 2
1249: 3 3 4
1250: 4 4 2
1251: 3 3 3
1252: 4 4 3
1253: 3 3 4
1254: 7 3 2
1255: 0 2 1
1256: 0 2 2
1257: 3 3 3
1258: 0 2 1
1259: 0 2 0
1260: 5 5 1
1261: 0 2 1
1262: 0 2 2
1263: 3 3 4
1264: 0 2 1
1265: 0 2 0
1266: 10 0 5
1267: 0 2 1
1268: 0 2 2
1269: 3 3 3
1270: 0 2 1
1271: 0 2 0
1272: 5 5 2
1273: 0 2 1
1274: 0 2 2
1275: 3 3 4
1276: 0 2 1
1277: 0 2 0
1278: 7 2 2
1279: 3 3 3
1280: 4 4 2
1281: 3 3 4
1282: 4 4 1
1283: 3 3 3
1284: 5 5 1
1285: 3 3 4
1286: 4 4 2
1287: 3 3 3
1288: 4 4 3
1289: 3 3 4
1290: 7 1 2
1291: 2 3 1
1292: 2 3 2
1293: 5 5 2
1294: 2 3 1
1295: 2 3 0
1296: 3 3 3
1297: 2 3 1
1298: 5 5 1
1299: 2 3 0
1300: 3 3 2
1301: 8 1 3
1302: 1 0 1
1303: 3 3 3
1304: 1 0 0
1305: 2 3 1
1306: 1 0 1
1307: 3 3 4
1308: 1 0 0
1309: 2 3 0
1310: 1 0 1
1311: 4 4 2
1312: 1 0 0
1313: 2 3 1
1314: 1 0 1
1315: 2 3 2
1316: 1 0 0
1317: 4 4 3
1318: 1 0 1
1319: 5 5 2
1320: 1 0 0
1321: 2 3 1
1322: 1 0 1
1323: 2 3 0
1324: 1 0 0
1325: 7 2 2
1326: 1 0 1
1327: 3 3 3
1328: 1 0 0
1329: 4 4 2
1330: 1 0 1
1331: 3 3 4
1332: 1 0 0
1333: 4 4 1
1334: 1 0 1
1335: 3 3 3
1336: 1 0 0
1337: 5 5 1
1338: 1 0 1
1339: 3 3 4
1340: 1 0 0
1341: 4 4 2
1342: 1 0 1
1343: 3 3 3
1344: 1 0 0
1345: 4 4 3
1346: 1 0 1
1347: 3 3 4
1348: 1 0 0
1349: 7 3 2
1350: 0 2 1
1351: 1 0 1
1352: 0 2 0
1353: 3 3 3
1354: 0 2 1
1355: 1 0 0
1356: 0 2 0
1357: 5 5 2
1358: 0 2 1
1359: 1 0 1
1360: 0 2 0
1361: 11 3 5
1362: 0 2 1
1363: 1 0 0
1364: 0 2 0
1365: 5 5 1
1366: 0 2 1
1367: 1 0 1
1368: 0 2 0
1369: 7 2 2
1370: 1 0 0
1371: 4 4 2
1372: 1 0 1
1373: 4 4 1
1374: 1 0 0
1375: 5 5 2
1376: 1 0 1
1377: 4 4 2
1378: 1 0 0
1379: 4 4 3
1380: 1 0 1
1381: 5 5 3
1382: 1 0 0
1383: 4 4 2
1384: 1 0 1
