Algorithm Performed: DFS
Time Elapsed: 0.80 sec
Expanded Nodes: 3064
Memory Usage at peak: 3.7162 MB
Solution Steps: 2838 steps

0001: 1 0 1
0002: 7 1 0
0003: 7 0 0
0004: 0 2 0
0005: 8 2 2
0006: 6 5 2
0007: 6 5 1
0008: 6 5 0
0009: 8 1 2
0010: 5 4 1
0011: 5 4 2
0012: 5 4 3
0013: 6 5 1
0014: 5 4 2
0015: 5 4 1
0016: 5 4 0
0017: 6 5 2
0018: 5 4 1
0019: 5 4 2
0020: 5 4 3
0021: 6 5 3
0022: 8 2 2
0023: 8 3 2
0024: 0 2 1
0025: 7 1 0
0026: 1 0 0
0027: 2 0 2
0028: 7 2 0
0029: 2 0 3
0030: 1 0 1
0031: 7 3 0
0032: 0 2 0
0033: 1 0 0
0034: 0 2 1
0035: 2 0 2
0036: 0 2 0
0037: 7 4 0
0038: 0 2 1
0039: 2 0 3
0040: 0 2 0
0041: 1 0 1
0042: 8 2 2
0043: 1 0 0
0044: 2 0 2
0045: 6 5 2
0046: 2 0 3
0047: 1 0 1
0048: 6 5 1
0049: 1 0 0
0050: 2 0 2
0051: 7 3 0
0052: 2 0 3
0053: 1 0 1
0054: 6 5 0
0055: 1 0 0
0056: 2 0 2
0057: 8 1 2
0058: 2 0 3
0059: 1 0 1
0060: 5 4 2
0061: 1 0 0
0062: 2 0 2
0063: 5 4 1
0064: 2 0 3
0065: 1 0 1
0066: 6 5 1
0067: 1 0 0
0068: 2 0 2
0069: 5 4 2
0070: 2 0 3
0071: 1 0 1
0072: 5 4 3
0073: 1 0 0
0074: 2 0 2
0075: 6 5 2
0076: 2 0 3
0077: 1 0 1
0078: 5 4 2
0079: 1 0 0
0080: 2 0 2
0081: 5 4 1
0082: 2 0 3
0083: 1 0 1
0084: 6 5 3
0085: 1 0 0
0086: 2 0 2
0087: 5 4 2
0088: 2 0 3
0089: 1 0 1
0090: 5 4 3
0091: 1 0 0
0092: 2 0 2
0093: 7 4 0
0094: 2 0 3
0095: 1 0 1
0096: 5 4 2
0097: 1 0 0
0098: 2 0 2
0099: 5 4 1
0100: 2 0 3
0101: 1 0 1
0102: 6 5 2
0103: 1 0 0
0104: 2 0 2
0105: 5 4 2
0106: 2 0 3
0107: 1 0 1
0108: 5 4 3
