Algorithm Performed: DFS
Time Elapsed: 0.04 sec
Expanded Nodes: 231
Memory Usage at peak: 268.1920 KB
Solution Steps: 205 steps

001: 2 3 2
002: 2 3 3
003: 3 5 2
004: 2 3 2
005: 2 3 1
006: 3 5 1
007: 2 3 2
008: 2 3 3
009: 3 5 0
010: 2 3 2
011: 2 3 1
012: 4 2 0
013: 2 3 2
014: 2 3 3
015: 3 5 1
016: 2 3 2
017: 2 3 1
018: 3 5 2
019: 2 3 2
020: 2 3 3
021: 3 5 3
022: 2 3 2
023: 2 3 1
024: 4 3 0
025: 0 2 0
026: 2 3 2
027: 0 2 1
028: 2 3 3
029: 0 2 0
030: 3 5 2
031: 0 2 1
032: 2 3 2
033: 0 2 0
034: 2 3 1
035: 0 2 1
036: 3 5 1
037: 0 2 0
038: 2 3 2
039: 0 2 1
040: 2 3 3
041: 0 2 0
042: 5 1 2
043: 1 0 1
044: 2 3 2
045: 1 0 0
046: 2 3 1
047: 1 0 1
048: 3 5 2
049: 1 0 0
050: 2 3 2
051: 1 0 1
052: 2 3 3
053: 1 0 0
054: 3 5 3
055: 1 0 1
056: 5 2 2
057: 1 0 0
058: 3 5 2
059: 1 0 1
060: 3 5 1
061: 1 0 0
062: 5 3 2
063: 0 2 1
064: 1 0 1
065: 0 2 0
066: 3 5 2
067: 0 2 1
068: 1 0 0
069: 0 2 0
070: 3 5 3
071: 0 2 1
072: 1 0 1
073: 0 2 0
074: 5 4 2
075: 0 2 1
076: 1 0 0
077: 0 2 0
078: 2 3 2
079: 0 2 1
080: 1 0 1
081: 0 2 0
082: 2 3 1
083: 0 2 1
084: 1 0 0
085: 4 2 0
086: 1 0 1
087: 2 3 2
088: 1 0 0
089: 2 3 3
090: 1 0 1
091: 4 1 0
092: 1 0 0
093: 2 3 2
094: 1 0 1
095: 2 3 1
096: 4 0 0
097: 2 3 0
098: 6 1 3
099: 1 0 2
100: 1 0 3
101: 1 0 4
102: 6 0 3
103: 2 3 1
104: 2 3 2
105: 2 3 3
106: 4 1 0
107: 2 3 2
108: 2 3 1
109: 4 2 0
110: 2 3 2
111: 2 3 3
112: 4 3 0
113: 0 2 0
114: 5 3 2
115: 0 2 1
116: 3 5 2
117: 0 2 0
118: 3 5 1
119: 5 2 2
120: 3 5 2
121: 3 5 3
122: 5 1 2
123: 2 3 2
124: 2 3 1
125: 3 5 2
126: 2 3 2
127: 2 3 3
128: 3 5 1
129: 2 3 2
130: 2 3 1
131: 5 0 2
132: 0 2 1
133: 2 3 2
134: 0 2 0
135: 2 3 3
136: 0 2 1
137: 3 5 2
138: 0 2 0
139: 2 3 2
140: 0 2 1
141: 2 3 1
142: 0 2 0
143: 3 5 3
144: 0 2 1
145: 2 3 2
146: 0 2 0
147: 2 3 3
148: 0 2 1
149: 4 2 0
150: 2 3 2
151: 2 3 1
152: 3 5 2
153: 2 3 2
154: 2 3 3
155: 3 5 1
156: 2 3 2
157: 2 3 1
158: 3 5 0
159: 2 3 2
160: 2 3 3
161: 4 1 0
162: 2 3 2
163: 2 3 1
164: 3 5 1
165: 2 3 2
166: 2 3 3
167: 3 5 2
168: 2 3 2
169: 2 3 1
170: 3 5 3
171: 2 3 2
172: 2 3 3
173: 4 0 0
174: 2 3 2
175: 2 3 1
176: 2 3 0
177: 3 5 2
178: 2 3 1
179: 2 3 2
180: 2 3 3
181: 3 5 1
182: 2 3 2
183: 2 3 1
184: 2 3 0
185: 3 5 0
186: 6 1 3
187: 1 0 3
188: 3 5 1
189: 1 0 4
190: 3 5 2
191: 1 0 3
192: 3 5 3
193: 1 0 4
194: 6 2 3
195: 1 0 3
196: 3 5 2
197: 1 0 4
198: 3 5 1
199: 1 0 3
200: 3 5 0
201: 1 0 4
202: 6 3 3
203: 0 2 2
204: 0 2 3
205: 0 2 4
