Algorithm Performed: DFS
Time Elapsed: 1.24 sec
Expanded Nodes: 4252
Memory Usage at peak: 4.8032 MB
Solution Steps: 3654 steps

0001: 1 0 2
0002: 4 0 0
0003: 0 2 0
0004: 1 0 3
0005: 0 2 1
0006: 5 2 0
0007: 1 0 2
0008: 9 2 4
0009: 1 0 3
0010: 5 3 0
0011: 0 2 0
0012: 1 0 2
0013: 0 2 1
0014: 4 1 0
0015: 1 0 3
0016: 5 4 0
0017: 1 0 2
0018: 2 3 0
0019: 1 0 3
0020: 4 0 0
0021: 0 2 0
0022: 1 0 2
0023: 0 2 1
0024: 2 3 1
0025: 0 2 0
0026: 1 0 3
0027: 0 2 1
0028: 9 1 4
0029: 0 2 0
0030: 1 0 2
0031: 0 2 1
0032: 2 3 0
0033: 0 2 0
0034: 1 0 3
0035: 0 2 1
0036: 4 1 0
0037: 1 0 2
0038: 2 3 1
0039: 1 0 3
0040: 4 2 0
0041: 1 0 2
0042: 9 2 4
0043: 1 0 3
0044: 10 1 5
0045: 1 0 2
0046: 4 1 0
0047: 1 0 3
0048: 2 3 0
0049: 1 0 2
0050: 4 0 0
0051: 0 2 0
0052: 1 0 3
0053: 0 2 1
0054: 2 3 1
0055: 0 2 0
0056: 1 0 2
0057: 0 2 1
0058: 5 3 0
0059: 0 2 0
0060: 1 0 3
0061: 0 2 1
0062: 4 1 0
0063: 1 0 2
0064: 9 1 4
0065: 1 0 3
0066: 4 0 0
0067: 0 2 0
0068: 1 0 2
0069: 0 2 1
0070: 5 2 0
0071: 1 0 3
0072: 9 2 4
0073: 1 0 2
0074: 10 0 5
0075: 5 3 0
0076: 0 2 0
0077: 5 4 0
0078: 0 2 1
0079: 2 3 0
0080: 0 2 0
0081: 8 2 3
0082: 0 2 1
0083: 4 1 0
0084: 8 1 3
0085: 2 3 1
0086: 4 2 0
0087: 9 1 4
0088: 4 1 0
0089: 2 3 0
0090: 4 0 0
0091: 0 2 0
0092: 2 3 1
0093: 0 2 1
0094: 5 3 0
0095: 0 2 0
0096: 11 3 5
0097: 0 2 1
0098: 3 5 4
0099: 0 2 0
0100: 5 4 0
0101: 0 2 1
0102: 2 3 0
0103: 0 2 0
0104: 3 5 3
0105: 0 2 1
0106: 2 3 1
0107: 0 2 0
0108: 9 2 4
0109: 0 2 1
0110: 2 3 0
0111: 0 2 0
0112: 3 5 4
0113: 0 2 1
0114: 2 3 1
0115: 0 2 0
0116: 5 3 0
0117: 0 2 1
0118: 3 5 3
0119: 0 2 0
0120: 10 1 5
0121: 0 2 1
0122: 1 0 3
0123: 0 2 0
0124: 3 5 4
0125: 0 2 1
0126: 1 0 2
0127: 0 2 0
0128: 5 4 0
0129: 0 2 1
0130: 1 0 3
0131: 0 2 0
0132: 2 3 0
0133: 0 2 1
0134: 1 0 2
0135: 0 2 0
0136: 3 5 3
0137: 0 2 1
0138: 1 0 3
0139: 0 2 0
0140: 2 3 1
0141: 0 2 1
0142: 1 0 2
0143: 0 2 0
0144: 9 1 4
0145: 0 2 1
0146: 1 0 3
0147: 0 2 0
0148: 2 3 0
0149: 0 2 1
0150: 1 0 2
0151: 0 2 0
0152: 3 5 4
0153: 0 2 1
0154: 1 0 3
0155: 0 2 0
0156: 2 3 1
0157: 0 2 1
0158: 1 0 2
0159: 0 2 0
0160: 5 3 0
0161: 0 2 1
0162: 1 0 3
0163: 0 2 0
0164: 3 5 3
0165: 0 2 1
