Algorithm Performed: DFS
Time Elapsed: 0.31 sec
Expanded Nodes: 1584
Memory Usage at peak: 2.1022 MB
Solution Steps: 1571 steps

0001: 1 0 2
0002: 1 0 1
0003: 8 2 3
0004: 1 0 2
0005: 1 0 3
0006: 2 1 2
0007: 1 0 2
0008: 1 0 1
0009: 2 1 3
0010: 1 0 2
0011: 1 0 3
0012: 2 1 4
0013: 1 0 2
0014: 1 0 1
0015: 6 1 2
0016: 1 0 2
0017: 1 0 3
0018: 2 1 3
0019: 1 0 2
0020: 1 0 1
0021: 7 3 2
0022: 1 0 2
0023: 1 0 3
0024: 2 1 4
0025: 1 0 2
0026: 1 0 1
0027: 4 5 2
0028: 1 0 2
0029: 1 0 3
0030: 2 1 3
0031: 1 0 2
0032: 1 0 1
0033: 4 5 1
0034: 1 0 2
0035: 1 0 3
0036: 2 1 4
0037: 1 0 2
0038: 1 0 1
0039: 4 5 0
0040: 1 0 2
0041: 1 0 3
0042: 2 1 3
0043: 1 0 2
0044: 1 0 1
0045: 9 1 5
0046: 1 0 2
0047: 1 0 3
0048: 3 4 4
0049: 1 0 2
0050: 1 0 1
0051: 4 5 1
0052: 1 0 2
0053: 1 0 3
0054: 3 4 3
0055: 1 0 2
0056: 1 0 1
0057: 4 5 2
0058: 1 0 2
0059: 1 0 3
0060: 3 4 4
0061: 1 0 2
0062: 1 0 1
0063: 4 5 3
0064: 1 0 2
0065: 1 0 3
0066: 3 4 3
0067: 1 0 2
0068: 1 0 1
0069: 7 4 2
0070: 1 0 2
0071: 1 0 3
0072: 3 4 4
0073: 1 0 2
0074: 1 0 1
0075: 6 2 2
0076: 1 0 2
0077: 1 0 3
0078: 2 1 2
0079: 1 0 2
0080: 1 0 1
0081: 2 1 1
0082: 1 0 2
0083: 1 0 3
0084: 3 4 3
0085: 1 0 2
0086: 1 0 1
0087: 2 1 2
0088: 1 0 2
0089: 1 0 3
0090: 2 1 3
0091: 1 0 2
0092: 1 0 1
0093: 9 0 5
0094: 1 0 2
0095: 2 1 2
0096: 1 0 1
0097: 2 1 1
0098: 1 0 2
0099: 3 4 4
0100: 1 0 1
0101: 2 1 2
0102: 1 0 2
0103: 2 1 3
0104: 1 0 1
0105: 6 1 2
0106: 1 0 2
0107: 3 4 3
0108: 1 0 1
0109: 7 3 2
0110: 1 0 2
0111: 3 4 4
0112: 1 0 1
0113: 4 5 2
0114: 1 0 2
0115: 3 4 3
0116: 1 0 1
0117: 4 5 1
0118: 1 0 2
0119: 3 4 4
0120: 1 0 1
0121: 4 5 0
0122: 1 0 2
0123: 8 3 3
0124: 1 0 1
0125: 4 5 1
0126: 1 0 2
0127: 4 5 2
0128: 1 0 1
0129: 4 5 3
0130: 1 0 2
0131: 7 4 2
0132: 1 0 1
0133: 6 2 2
0134: 1 0 2
0135: 2 1 2
0136: 1 0 1
0137: 2 1 1
0138: 1 0 2
0139: 9 1 5
0140: 1 0 1
0141: 2 1 2
0142: 1 0 2
0143: 1 0 3
0144: 2 1 3
0145: 1 0 2
0146: 1 0 1
0147: 6 1 2
0148: 1 0 2
