Algorithm Performed: DFS
Time Elapsed: 1.84 sec
Expanded Nodes: 8008
Memory Usage at peak: 10.2859 MB
Solution Steps: 7753 steps

0001: 0 2 1
0002: 1 0 2
0003: 0 2 0
0004: 1 0 1
0005: 0 2 1
0006: 2 3 1
0007: 0 2 0
0008: 1 0 2
0009: 0 2 1
0010: 1 0 3
0011: 0 2 0
0012: 3 4 3
0013: 0 2 1
0014: 1 0 2
0015: 0 2 0
0016: 1 0 1
0017: 0 2 1
0018: 2 3 0
0019: 0 2 0
0020: 1 0 2
0021: 0 2 1
0022: 1 0 3
0023: 0 2 0
0024: 5 5 4
0025: 0 2 1
0026: 1 0 2
0027: 0 2 0
0028: 1 0 1
0029: 0 2 1
0030: 2 3 1
0031: 0 2 0
0032: 1 0 2
0033: 0 2 1
0034: 1 0 3
0035: 0 2 0
0036: 3 4 4
0037: 0 2 1
0038: 1 0 2
0039: 0 2 0
0040: 1 0 1
0041: 0 2 1
0042: 2 3 0
0043: 0 2 0
0044: 1 0 2
0045: 0 2 1
0046: 1 0 3
0047: 0 2 0
0048: 8 2 3
0049: 0 2 1
0050: 1 0 2
0051: 0 2 0
0052: 1 0 1
0053: 0 2 1
0054: 3 4 3
0055: 0 2 0
0056: 1 0 2
0057: 0 2 1
0058: 1 0 3
0059: 0 2 0
0060: 5 5 3
0061: 0 2 1
0062: 1 0 2
0063: 0 2 0
0064: 1 0 1
0065: 0 2 1
0066: 3 4 4
0067: 0 2 0
0068: 1 0 2
0069: 0 2 1
0070: 1 0 3
0071: 0 2 0
0072: 8 3 3
0073: 0 2 1
0074: 0 2 2
0075: 1 0 2
0076: 0 2 1
0077: 0 2 0
0078: 1 0 1
0079: 0 2 1
0080: 0 2 2
0081: 5 5 4
0082: 0 2 1
0083: 0 2 0
0084: 1 0 2
0085: 0 2 1
0086: 0 2 2
0087: 1 0 3
0088: 0 2 1
0089: 0 2 0
0090: 8 4 3
0091: 0 2 1
0092: 0 2 2
0093: 1 0 2
0094: 0 2 1
0095: 0 2 0
0096: 1 0 1
0097: 0 2 1
0098: 0 2 2
0099: 2 3 1
0100: 0 2 1
0101: 0 2 0
0102: 1 0 2
0103: 0 2 1
0104: 0 2 2
0105: 1 0 3
0106: 0 2 1
0107: 0 2 0
0108: 9 1 4
0109: 0 2 1
0110: 0 2 2
0111: 1 0 2
0112: 0 2 1
0113: 0 2 0
0114: 1 0 1
0115: 0 2 1
0116: 0 2 2
0117: 2 3 0
0118: 0 2 1
0119: 0 2 0
0120: 1 0 2
0121: 0 2 1
0122: 0 2 2
0123: 1 0 3
0124: 0 2 1
0125: 0 2 0
0126: 8 3 3
0127: 0 2 1
0128: 0 2 2
