Algorithm Performed: DFS
Time Elapsed: 0.89 sec
Expanded Nodes: 2602
Memory Usage at peak: 2.8357 MB
Solution Steps: 2095 steps

0001: 1 0 2
0002: 5 5 4
0003: 1 0 1
0004: 10 4 3
0005: 1 0 2
0006: 2 3 1
0007: 1 0 1
0008: 2 3 2
0009: 1 0 2
0010: 6 1 0
0011: 1 0 1
0012: 1 0 0
0013: 2 3 1
0014: 1 0 1
0015: 1 0 2
0016: 6 2 0
0017: 1 0 1
0018: 1 0 0
0019: 2 3 2
0020: 1 0 1
0021: 1 0 2
0022: 7 0 1
0023: 2 3 1
0024: 6 1 0
0025: 2 3 2
0026: 6 0 0
0027: 2 3 1
0028: 2 3 0
0029: 10 3 3
0030: 5 5 3
0031: 12 0 5
0032: 5 5 4
0033: 7 1 1
0034: 1 0 1
0035: 10 4 3
0036: 1 0 2
0037: 2 3 1
0038: 1 0 1
0039: 2 3 2
0040: 1 0 2
0041: 2 3 3
0042: 1 0 1
0043: 6 1 0
0044: 1 0 0
0045: 2 3 2
0046: 1 0 1
0047: 1 0 2
0048: 2 3 1
0049: 1 0 1
0050: 1 0 0
0051: 6 2 0
0052: 1 0 1
0053: 1 0 2
0054: 2 3 2
0055: 1 0 1
0056: 1 0 0
0057: 2 3 3
0058: 1 0 1
0059: 1 0 2
0060: 6 1 0
0061: 7 0 1
0062: 2 3 2
0063: 2 3 1
0064: 6 0 0
0065: 2 3 2
0066: 2 3 3
0067: 8 2 2
0068: 6 1 0
0069: 6 2 0
0070: 7 1 1
0071: 1 0 1
0072: 1 0 0
0073: 6 1 0
0074: 1 0 1
0075: 1 0 2
0076: 6 0 0
0077: 1 0 1
0078: 7 2 1
0079: 1 0 2
0080: 6 1 0
0081: 1 0 1
0082: 1 0 0
0083: 6 2 0
0084: 1 0 1
0085: 1 0 2
0086: 7 3 1
0087: 1 0 1
0088: 1 0 0
0089: 6 1 0
0090: 1 0 1
0091: 1 0 2
0092: 6 0 0
0093: 1 0 1
0094: 8 1 2
0095: 1 0 2
0096: 2 3 2
0097: 1 0 1
0098: 6 1 0
0099: 1 0 0
0100: 2 3 3
0101: 1 0 1
0102: 1 0 2
0103: 2 3 2
0104: 6 2 0
0105: 1 0 1
0106: 1 0 0
0107: 2 3 3
0108: 1 0 1
0109: 1 0 2
0110: 7 2 1
0111: 1 0 1
0112: 1 0 0
0113: 2 3 2
0114: 1 0 1
0115: 1 0 2
0116: 6 1 0
0117: 1 0 1
0118: 1 0 0
0119: 2 3 3
0120: 1 0 1
0121: 1 0 2
0122: 6 0 0
0123: 1 0 1
0124: 2 3 2
0125: 1 0 2
0126: 12 1 5
0127: 1 0 1
0128: 6 1 0
0129: 1 0 0
0130: 6 2 0
0131: 1 0 1
0132: 1 0 2
0133: 6 1 0
0134: 7 3 1
0135: 1 0 1
0136: 1 0 0
0137: 6 2 0
0138: 8 0 2
0139: 0 2 2
0140: 0 2 1
0141: 6 1 0
0142: 0 2 2
0143: 0 2 3
0144: 7 2 1
0145: 0 2 2
0146: 6 2 0
0147: 0 2 3
0148: 7 1 1
0149: 0 2 2
0150: 2 3 1
0151: 0 2 3
0152: 6 1 0
0153: 0 2 2
0154: 2 3 2
0155: 0 2 3
0156: 12 0 5
0157: 0 2 2
0158: 2 3 1
0159: 0 2 3
0160: 6 2 0
0161: 0 2 2
0162: 2 3 2
0163: 0 2 3
0164: 2 3 3
0165: 0 2 2
0166: 6 1 0
0167: 0 2 3
0168: 7 2 1
0169: 0 2 2
0170: 2 3 2
0171: 0 2 3
0172: 6 2 0
0173: 0 2 2
0174: 2 3 3
0175: 0 2 3
0176: 7 3 1
0177: 0 2 2
0178: 0 2 1
0179: 2 3 2
0180: 0 2 2
0181: 0 2 3
0182: 6 1 0
0183: 0 2 2
0184: 0 2 1
0185: 2 3 3
0186: 0 2 2
0187: 0 2 3
0188: 9 3 2
0189: 0 2 2
0190: 0 2 1
0191: 4 5 1
0192: 0 2 2
0193: 0 2 3
0194: 6 2 0
0195: 0 2 2
0196: 0 2 1
0197: 4 5 0
0198: 0 2 2
0199: 0 2 3
0200: 7 2 1
0201: 0 2 2
0202: 4 5 1
0203: 0 2 3
0204: 6 1 0
0205: 0 2 2
0206: 4 5 0
0207: 0 2 3
0208: 7 1 1
0209: 0 2 2
0210: 4 5 1
0211: 0 2 3
0212: 6 2 0
0213: 0 2 2
0214: 4 5 0
0215: 0 2 3
0216: 8 1 2
0217: 1 0 1
0218: 1 0 2
0219: 4 5 1
0220: 1 0 1
0221: 1 0 0
0222: 6 1 0
0223: 1 0 1
0224: 1 0 2
0225: 4 5 0
0226: 1 0 1
0227: 1 0 0
0228: 7 2 1
0229: 1 0 1
0230: 1 0 2
0231: 4 5 1
0232: 1 0 1
0233: 1 0 0
0234: 6 2 0
0235: 1 0 1
0236: 1 0 2
0237: 4 5 0
0238: 1 0 1
0239: 1 0 0
0240: 7 3 1
0241: 1 0 1
0242: 1 0 2
0243: 4 5 1
0244: 1 0 1
0245: 1 0 0
0246: 6 1 0
0247: 1 0 1
0248: 1 0 2
0249: 4 5 0
0250: 1 0 1
0251: 6 0 0
0252: 1 0 2
0253: 4 5 1
0254: 1 0 1
0255: 7 2 1
0256: 1 0 2
0257: 4 5 0
0258: 1 0 1
0259: 7 1 1
0260: 1 0 2
0261: 4 5 1
0262: 7 0 1
0263: 4 5 0
0264: 6 1 0
0265: 4 5 1
0266: 6 2 0
0267: 6 3 0
0268: 7 1 1
0269: 1 0 1
0270: 1 0 0
0271: 7 2 1
0272: 1 0 1
0273: 1 0 2
0274: 7 3 1
0275: 1 0 1
0276: 1 0 0
0277: 8 0 2
0278: 0 2 2
0279: 0 2 1
0280: 0 2 0
0281: 8 1 2
0282: 1 0 1
0283: 1 0 2
0284: 11 1 4
0285: 1 0 3
0286: 8 0 2
0287: 0 2 1
0288: 0 2 2
0289: 6 2 0
0290: 0 2 1
0291: 4 5 0
0292: 0 2 2
0293: 6 1 0
0294: 0 2 1
0295: 4 5 1
0296: 0 2 2
0297: 6 0 0
0298: 0 2 1
0299: 4 5 0
0300: 0 2 2
0301: 7 2 1
0302: 4 5 1
0303: 6 1 0
0304: 4 5 0
0305: 6 2 0
0306: 4 5 1
0307: 6 3 0
0308: 7 1 1
0309: 6 2 0
0310: 4 5 0
0311: 6 1 0
0312: 4 5 1
0313: 6 0 0
0314: 4 5 0
0315: 7 0 1
0316: 0 2 1
0317: 4 5 1
0318: 0 2 2
0319: 6 1 0
0320: 0 2 1
0321: 4 5 0
0322: 0 2 2
0323: 6 2 0
0324: 0 2 1
0325: 9 4 2
0326: 0 2 2
0327: 2 3 2
0328: 0 2 1
0329: 2 3 1
0330: 0 2 2
0331: 6 1 0
0332: 0 2 1
0333: 2 3 2
0334: 0 2 2
0335: 2 3 3
0336: 0 2 1
0337: 6 0 0
0338: 0 2 2
0339: 2 3 2
0340: 0 2 1
0341: 2 3 1
0342: 0 2 2
0343: 2 3 0
0344: 0 2 1
0345: 10 3 3
0346: 0 2 2
0347: 5 5 3
0348: 0 2 1
0349: 10 2 3
0350: 3 4 3
0351: 5 5 4
0352: 3 4 4
0353: 10 1 3
0354: 2 3 1
0355: 2 3 2
0356: 2 3 3
0357: 3 4 3
0358: 2 3 2
0359: 2 3 1
0360: 2 3 0
0361: 5 5 3
0362: 2 3 1
0363: 2 3 2
0364: 2 3 3
0365: 3 4 4
0366: 2 3 2
0367: 2 3 1
0368: 2 3 0
0369: 11 2 4
0370: 2 3 1
0371: 3 4 3
0372: 2 3 0
0373: 5 5 4
0374: 2 3 1
0375: 3 4 4
0376: 2 3 0
0377: 10 2 3
0378: 3 4 3
0379: 5 5 3
0380: 3 4 4
0381: 10 3 3
0382: 0 2 2
0383: 5 5 4
0384: 0 2 1
0385: 10 4 3
0386: 0 2 2
0387: 2 3 1
0388: 0 2 1
0389: 6 1 0
0390: 0 2 2
0391: 6 2 0
0392: 0 2 1
0393: 12 1 5
0394: 0 2 2
0395: 1 0 4
0396: 0 2 1
0397: 6 1 0
0398: 0 2 2
0399: 1 0 3
0400: 0 2 1
0401: 6 0 0
0402: 0 2 2
0403: 1 0 4
0404: 0 2 1
0405: 2 3 0
0406: 0 2 2
0407: 1 0 3
0408: 0 2 1
0409: 10 3 3
0410: 0 2 2
0411: 1 0 4
0412: 0 2 1
0413: 5 5 3
0414: 0 2 2
0415: 1 0 3
0416: 0 2 1
0417: 10 2 3
0418: 1 0 4
0419: 3 4 3
0420: 1 0 3
0421: 5 5 4
0422: 1 0 4
0423: 3 4 4
0424: 1 0 3
0425: 10 1 3
0426: 1 0 4
0427: 2 3 1
0428: 1 0 3
0429: 3 4 3
0430: 1 0 4
0431: 2 3 0
0432: 1 0 3
0433: 5 5 3
0434: 1 0 4
0435: 2 3 1
0436: 1 0 3
0437: 3 4 4
0438: 1 0 4
0439: 2 3 0
0440: 1 0 3
0441: 11 1 4
0442: 1 0 4
0443: 2 3 1
0444: 1 0 3
0445: 2 3 2
0446: 1 0 4
0447: 3 4 3
0448: 1 0 3
0449: 2 3 1
0450: 1 0 4
0451: 2 3 0
0452: 1 0 3
0453: 5 5 4
0454: 1 0 4
0455: 2 3 1
0456: 1 0 3
0457: 2 3 2
0458: 1 0 4
0459: 3 4 4
0460: 1 0 3
0461: 2 3 1
0462: 1 0 4
0463: 2 3 0
0464: 1 0 3
0465: 10 2 3
0466: 1 0 4
0467: 3 4 3
0468: 1 0 3
0469: 5 5 3
0470: 1 0 4
0471: 12 2 5
0472: 1 0 3
0473: 5 5 4
0474: 1 0 4
0475: 10 1 3
0476: 1 0 3
0477: 2 3 1
0478: 1 0 4
0479: 2 3 2
0480: 1 0 3
0481: 5 5 3
0482: 1 0 4
0483: 2 3 1
0484: 1 0 3
0485: 2 3 0
0486: 1 0 4
0487: 10 0 3
0488: 0 2 2
0489: 2 3 1
0490: 0 2 1
0491: 2 3 2
0492: 0 2 2
0493: 5 5 4
0494: 0 2 1
0495: 2 3 1
0496: 0 2 2
0497: 2 3 0
0498: 0 2 1
0499: 11 2 4
0500: 0 2 2
0501: 2 3 1
0502: 0 2 1
0503: 5 5 3
0504: 0 2 2
0505: 2 3 0
0506: 0 2 1
0507: 10 1 3
0508: 1 0 3
0509: 2 3 1
0510: 1 0 4
0511: 5 5 4
0512: 1 0 3
0513: 2 3 0
0514: 1 0 4
0515: 10 2 3
0516: 1 0 3
0517: 5 5 3
0518: 1 0 4
0519: 12 3 5
0520: 1 0 3
0521: 10 1 3
0522: 1 0 4
0523: 2 3 1
0524: 1 0 3
0525: 6 1 0
0526: 1 0 4
0527: 6 2 0
0528: 1 0 3
0529: 11 1 4
0530: 1 0 4
0531: 2 3 2
0532: 1 0 3
0533: 6 1 0
0534: 1 0 4
0535: 2 3 1
0536: 1 0 3
0537: 6 0 0
0538: 1 0 4
0539: 2 3 0
0540: 10 0 3
0541: 0 2 2
0542: 2 3 1
0543: 0 2 1
0544: 2 3 2
0545: 0 2 2
0546: 6 1 0
0547: 0 2 1
0548: 2 3 1
0549: 0 2 2
0550: 6 2 0
0551: 0 2 1
0552: 2 3 2
0553: 0 2 2
0554: 7 1 1
0555: 2 3 1
0556: 6 1 0
0557: 2 3 2
0558: 6 0 0
0559: 2 3 1
0560: 2 3 0
0561: 11 2 4
0562: 2 3 1
0563: 6 1 0
0564: 6 2 0
0565: 7 0 1
0566: 0 2 1
0567: 6 1 0
0568: 0 2 2
0569: 12 2 5
0570: 0 2 1
0571: 5 5 4
0572: 0 2 2
0573: 6 2 0
0574: 0 2 1
0575: 5 5 3
0576: 0 2 2
0577: 7 1 1
0578: 5 5 4
0579: 6 1 0
0580: 5 5 3
0581: 6 0 0
0582: 2 3 0
0583: 5 5 4
0584: 2 3 1
0585: 11 1 4
0586: 2 3 0
0587: 5 5 3
0588: 2 3 1
0589: 2 3 2
0590: 5 5 4
0591: 6 1 0
0592: 2 3 1
0593: 5 5 3
0594: 2 3 2
0595: 6 2 0
0596: 2 3 1
0597: 5 5 4
0598: 2 3 2
0599: 7 0 1
0600: 0 2 1
0601: 2 3 1
0602: 0 2 2
0603: 5 5 3
0604: 0 2 1
0605: 2 3 2
0606: 0 2 2
0607: 6 1 0
0608: 0 2 1
0609: 2 3 1
0610: 0 2 2
0611: 5 5 4
0612: 0 2 1
0613: 2 3 2
0614: 0 2 2
0615: 12 1 5
0616: 0 2 1
0617: 2 3 1
0618: 0 2 2
0619: 3 4 4
0620: 0 2 1
0621: 2 3 2
0622: 0 2 2
0623: 5 5 3
0624: 0 2 1
0625: 2 3 1
0626: 0 2 2
0627: 3 4 3
0628: 0 2 1
0629: 2 3 2
0630: 0 2 2
0631: 6 0 0
0632: 0 2 1
0633: 2 3 1
0634: 0 2 2
0635: 2 3 0
0636: 0 2 1
0637: 3 4 4
0638: 0 2 2
0639: 2 3 1
0640: 0 2 1
0641: 2 3 2
0642: 0 2 2
0643: 5 5 4
0644: 0 2 1
0645: 2 3 1
0646: 0 2 2
0647: 2 3 0
0648: 0 2 1
0649: 3 4 3
0650: 0 2 2
0651: 2 3 1
0652: 0 2 1
0653: 2 3 2
0654: 0 2 2
0655: 7 1 1
0656: 2 3 1
0657: 2 3 0
0658: 3 4 4
0659: 2 3 1
0660: 2 3 2
0661: 5 5 3
0662: 2 3 1
0663: 2 3 0
0664: 3 4 3
0665: 2 3 1
0666: 2 3 2
0667: 6 1 0
0668: 2 3 1
0669: 3 4 4
0670: 2 3 2
0671: 5 5 4
0672: 2 3 1
0673: 3 4 3
0674: 2 3 2
0675: 6 2 0
0676: 2 3 1
0677: 3 4 4
0678: 2 3 2
0679: 5 5 3
0680: 2 3 1
0681: 3 4 3
0682: 2 3 2
0683: 7 2 1
0684: 3 4 4
0685: 5 5 4
0686: 3 4 3
0687: 6 1 0
0688: 3 4 4
0689: 5 5 3
0690: 3 4 3
0691: 6 0 0
0692: 3 4 4
0693: 5 5 4
0694: 3 4 3
0695: 7 3 1
0696: 0 2 1
0697: 3 4 4
0698: 0 2 2
0699: 5 5 3
0700: 0 2 1
0701: 3 4 3
0702: 0 2 2
0703: 6 1 0
0704: 0 2 1
0705: 3 4 4
0706: 0 2 2
0707: 5 5 4
0708: 0 2 1
0709: 3 4 3
0710: 0 2 2
0711: 6 2 0
0712: 0 2 1
0713: 3 4 4
0714: 0 2 2
0715: 5 5 3
0716: 0 2 1
0717: 3 4 3
0718: 0 2 2
0719: 12 2 5
0720: 0 2 1
0721: 5 5 4
0722: 0 2 2
0723: 6 1 0
0724: 0 2 1
0725: 5 5 3
0726: 0 2 2
0727: 6 0 0
0728: 0 2 1
0729: 5 5 4
0730: 0 2 2
0731: 7 2 1
0732: 5 5 3
0733: 6 1 0
0734: 5 5 4
0735: 6 2 0
0736: 5 5 3
0737: 12 3 5
0738: 6 1 0
0739: 6 0 0
0740: 7 3 1
0741: 0 2 1
0742: 6 1 0
0743: 0 2 2
0744: 6 2 0
0745: 0 2 1
0746: 10 1 3
0747: 1 0 3
0748: 6 1 0
0749: 1 0 4
0750: 6 0 0
0751: 1 0 3
0752: 12 2 5
0753: 1 0 4
0754: 5 5 4
0755: 1 0 3
0756: 6 1 0
0757: 1 0 4
0758: 5 5 3
0759: 1 0 3
0760: 6 2 0
0761: 1 0 4
0762: 5 5 4
0763: 1 0 3
0764: 12 1 5
0765: 1 0 4
0766: 3 4 4
0767: 1 0 3
0768: 5 5 3
0769: 1 0 4
0770: 3 4 3
0771: 1 0 3
0772: 6 1 0
0773: 1 0 4
0774: 3 4 4
0775: 1 0 3
0776: 5 5 4
0777: 1 0 4
0778: 3 4 3
0779: 1 0 3
0780: 6 0 0
0781: 1 0 4
0782: 3 4 4
0783: 1 0 3
0784: 5 5 3
0785: 1 0 4
0786: 3 4 3
0787: 1 0 3
0788: 12 0 5
0789: 2 3 3
0790: 3 4 4
0791: 2 3 2
0792: 5 5 4
0793: 2 3 3
0794: 3 4 3
0795: 2 3 2
0796: 6 1 0
0797: 2 3 3
0798: 3 4 4
0799: 2 3 2
0800: 5 5 3
0801: 2 3 3
0802: 3 4 3
0803: 2 3 2
0804: 6 2 0
0805: 2 3 3
0806: 3 4 4
0807: 2 3 2
0808: 5 5 4
0809: 2 3 3
0810: 3 4 3
0811: 9 3 2
0812: 3 4 4
0813: 4 5 1
0814: 3 4 3
0815: 4 5 2
0816: 3 4 4
0817: 6 1 0
0818: 3 4 3
0819: 4 5 1
0820: 3 4 4
0821: 4 5 0
0822: 3 4 3
0823: 5 5 3
0824: 3 4 4
0825: 4 5 1
0826: 3 4 3
0827: 6 0 0
0828: 3 4 4
0829: 4 5 0
0830: 3 4 3
0831: 5 5 2
0832: 3 4 4
0833: 6 1 0
0834: 3 4 3
0835: 6 2 0
0836: 3 4 4
0837: 5 5 3
0838: 3 4 3
0839: 4 5 1
0840: 3 4 4
0841: 6 3 0
0842: 0 2 0
0843: 3 4 3
0844: 0 2 1
0845: 5 5 4
0846: 0 2 0
0847: 3 4 4
