Algorithm Performed: DFS
Time Elapsed: 0.72 sec
Expanded Nodes: 1823
Memory Usage at peak: 1.6451 MB
Solution Steps: 1161 steps

0001: 0 2 2
0002: 0 2 3
0003: 2 0 3
0004: 0 2 2
0005: 0 2 1
0006: 4 3 2
0007: 0 2 2
0008: 0 2 3
0009: 2 0 4
0010: 0 2 2
0011: 0 2 1
0012: 6 5 1
0013: 0 2 2
0014: 0 2 3
0015: 2 0 3
0016: 0 2 2
0017: 0 2 1
0018: 4 3 1
0019: 0 2 2
0020: 0 2 3
0021: 2 0 4
0022: 0 2 2
0023: 0 2 1
0024: 8 3 0
0025: 0 2 0
0026: 2 0 3
0027: 0 2 1
0028: 0 2 2
0029: 0 2 3
0030: 2 0 4
0031: 0 2 2
0032: 4 3 2
0033: 0 2 1
0034: 0 2 0
0035: 2 0 3
0036: 0 2 1
0037: 0 2 2
0038: 0 2 3
0039: 2 0 4
0040: 9 1 2
0041: 1 0 1
0042: 1 0 2
0043: 4 3 1
0044: 1 0 1
0045: 1 0 0
0046: 2 0 3
0047: 1 0 1
0048: 4 3 2
0049: 1 0 0
0050: 2 0 2
0051: 4 3 1
0052: 8 2 0
0053: 2 0 3
0054: 1 0 1
0055: 2 0 4
0056: 1 0 0
0057: 4 3 2
0058: 1 0 1
0059: 1 0 2
0060: 4 3 1
0061: 6 5 0
0062: 1 0 1
0063: 1 0 0
0064: 2 0 3
0065: 1 0 1
0066: 4 3 2
0067: 1 0 0
0068: 2 0 2
0069: 4 3 1
0070: 11 0 5
0071: 2 0 3
0072: 1 0 1
0073: 4 3 2
0074: 1 0 0
0075: 2 0 2
0076: 4 3 3
0077: 2 0 3
0078: 1 0 1
0079: 6 5 1
0080: 1 0 0
0081: 2 0 2
0082: 4 3 2
0083: 2 0 3
0084: 1 0 1
0085: 4 3 1
0086: 1 0 0
0087: 2 0 2
0088: 8 3 0
0089: 2 0 3
0090: 1 0 1
0091: 4 3 2
0092: 1 0 0
0093: 2 0 2
0094: 4 3 3
0095: 2 0 3
0096: 1 0 1
0097: 9 2 2
0098: 1 0 0
0099: 2 0 2
0100: 3 1 1
0101: 2 0 3
0102: 1 0 1
0103: 3 1 2
0104: 1 0 0
0105: 2 0 2
0106: 3 1 3
0107: 2 0 3
0108: 1 0 1
0109: 8 2 0
0110: 1 0 0
0111: 2 0 2
0112: 3 1 2
0113: 2 0 3
0114: 1 0 1
0115: 3 1 1
0116: 1 0 0
0117: 2 0 2
0118: 3 1 0
0119: 2 0 3
0120: 1 0 1
0121: 6 5 0
0122: 1 0 0
0123: 2 0 2
0124: 3 1 1
0125: 2 0 3
0126: 1 0 1
0127: 3 1 2
0128: 1 0 0
0129: 2 0 2
0130: 3 1 3
0131: 2 0 3
0132: 1 0 1
0133: 8 1 0
0134: 1 0 0
0135: 2 0 2
0136: 3 1 2
0137: 2 0 3
0138: 1 0 1
0139: 3 1 1
0140: 1 0 0
0141: 2 0 2
0142: 6 5 1
0143: 2 0 3
0144: 1 0 1
0145: 3 1 2
0146: 1 0 0
0147: 2 0 2
0148: 3 1 3
0149: 2 0 3
0150: 1 0 1
0151: 8 0 0
0152: 3 1 2
0153: 3 1 1
0154: 6 5 0
0155: 3 1 2
0156: 3 1 3
0157: 9 1 2
0158: 4 3 2
0159: 4 3 1
0160: 4 3 0
0161: 6 5 1
0162: 4 3 1
0163: 4 3 2
0164: 4 3 3
0165: 8 1 0
0166: 1 0 0
0167: 2 0 2
0168: 4 3 2
0169: 2 0 3
0170: 1 0 1
0171: 4 3 1
0172: 1 0 0
0173: 2 0 2
0174: 6 5 0
0175: 2 0 3
0176: 1 0 1
0177: 4 3 2
0178: 1 0 0
0179: 2 0 2
0180: 4 3 3
0181: 2 0 3
0182: 1 0 1
0183: 8 2 0
0184: 1 0 0
0185: 2 0 2
0186: 4 3 2
0187: 2 0 3
0188: 1 0 1
0189: 4 3 1
0190: 1 0 0
0191: 2 0 2
0192: 6 5 1
0193: 2 0 3
0194: 1 0 1
0195: 4 3 2
0196: 1 0 0
0197: 2 0 2
0198: 4 3 3
0199: 2 0 3
0200: 1 0 1
0201: 8 3 0
0202: 1 0 0
0203: 2 0 2
0204: 4 3 2
0205: 2 0 3
0206: 1 0 1
0207: 4 3 1
0208: 1 0 0
0209: 2 0 2
0210: 11 1 5
0211: 2 0 3
0212: 1 0 1
0213: 2 0 4
0214: 1 0 0
0215: 4 3 2
0216: 1 0 1
0217: 1 0 2
0218: 4 3 1
0219: 8 2 0
0220: 1 0 1
0221: 1 0 0
0222: 2 0 3
0223: 1 0 1
0224: 4 3 2
0225: 1 0 0
0226: 2 0 2
0227: 4 3 1
0228: 6 5 0
0229: 2 0 3
0230: 1 0 1
0231: 2 0 4
0232: 1 0 0
0233: 4 3 2
0234: 1 0 1
0235: 1 0 2
0236: 4 3 1
0237: 8 1 0
0238: 1 0 1
0239: 1 0 0
0240: 2 0 3
0241: 1 0 1
0242: 4 3 2
0243: 1 0 0
0244: 2 0 2
0245: 4 3 1
0246: 6 5 1
0247: 2 0 3
0248: 1 0 1
0249: 2 0 4
0250: 1 0 0
0251: 4 3 2
0252: 1 0 1
0253: 1 0 2
0254: 4 3 1
0255: 8 0 0
0256: 1 0 1
0257: 2 0 3
0258: 4 3 0
0259: 2 0 4
0260: 1 0 2
0261: 6 5 0
0262: 1 0 1
0263: 2 0 3
0264: 4 3 1
0265: 2 0 4
0266: 1 0 2
0267: 4 3 2
0268: 1 0 1
0269: 2 0 3
0270: 6 5 1
0271: 8 1 0
0272: 1 0 0
0273: 9 0 2
0274: 0 2 2
0275: 0 2 1
0276: 2 0 4
0277: 0 2 2
0278: 0 2 3
0279: 4 3 1
0280: 0 2 2
0281: 0 2 1
0282: 2 0 3
0283: 0 2 2
0284: 0 2 3
0285: 6 5 0
0286: 0 2 2
0287: 0 2 1
0288: 2 0 4
0289: 0 2 2
0290: 0 2 3
0291: 4 3 2
0292: 0 2 2
0293: 0 2 1
0294: 2 0 3
0295: 0 2 2
0296: 0 2 3
0297: 8 2 0
0298: 0 2 2
0299: 0 2 1
0300: 2 0 4
0301: 0 2 2
0302: 0 2 3
0303: 4 3 1
0304: 0 2 2
0305: 0 2 1
0306: 2 0 3
0307: 0 2 2
0308: 0 2 3
0309: 6 5 1
0310: 0 2 2
0311: 0 2 1
0312: 2 0 4
0313: 0 2 2
0314: 0 2 3
0315: 4 3 2
0316: 0 2 2
0317: 0 2 1
0318: 2 0 3
0319: 0 2 2
0320: 0 2 3
0321: 8 3 0
0322: 0 2 2
0323: 0 2 1
0324: 0 2 0
0325: 2 0 4
0326: 0 2 1
0327: 0 2 2
0328: 0 2 3
0329: 4 3 1
0330: 0 2 2
0331: 0 2 1
0332: 0 2 0
0333: 2 0 3
0334: 0 2 1
0335: 0 2 2
0336: 0 2 3
0337: 11 0 5
0338: 0 2 2
0339: 0 2 1
0340: 0 2 0
0341: 4 3 2
0342: 0 2 1
0343: 0 2 2
0344: 0 2 3
0345: 4 3 3
0346: 0 2 2
0347: 0 2 1
0348: 0 2 0
0349: 9 1 2
0350: 1 0 1
0351: 4 3 2
0352: 1 0 0
0353: 2 0 2
0354: 4 3 3
0355: 9 2 2
0356: 2 0 3
0357: 1 0 1
0358: 3 1 2
0359: 1 0 0
0360: 2 0 2
0361: 3 1 1
0362: 2 0 3
0363: 1 0 1
0364: 3 1 0
0365: 1 0 0
0366: 2 0 2
0367: 9 3 2
0368: 0 2 1
0369: 0 2 2
0370: 0 2 3
0371: 2 0 3
0372: 0 2 2
0373: 0 2 1
0374: 0 2 0
0375: 1 0 1
0376: 0 2 1
0377: 0 2 2
0378: 0 2 3
0379: 3 1 1
0380: 0 2 2
0381: 0 2 1
0382: 0 2 0
0383: 1 0 0
0384: 0 2 1
0385: 0 2 2
0386: 0 2 3
0387: 2 0 2
0388: 0 2 2
0389: 0 2 1
0390: 0 2 0
0391: 3 1 2
0392: 0 2 1
0393: 0 2 2
0394: 0 2 3
0395: 2 0 3
0396: 0 2 2
0397: 0 2 1
0398: 0 2 0
0399: 1 0 1
0400: 0 2 1
0401: 0 2 2
0402: 0 2 3
0403: 3 1 3
0404: 0 2 2
0405: 0 2 1
0406: 0 2 0
0407: 1 0 0
0408: 0 2 1
0409: 0 2 2
0410: 0 2 3
0411: 2 0 2
0412: 0 2 2
0413: 0 2 1
0414: 8 2 0
0415: 0 2 2
0416: 0 2 3
0417: 2 0 3
0418: 0 2 2
0419: 0 2 1
0420: 1 0 1
0421: 0 2 2
0422: 0 2 3
0423: 3 1 2
0424: 0 2 2
0425: 0 2 1
0426: 1 0 0
0427: 0 2 2
0428: 0 2 3
0429: 2 0 2
0430: 0 2 2
0431: 0 2 1
0432: 3 1 1
0433: 0 2 2
0434: 0 2 3
0435: 2 0 3
0436: 0 2 2
0437: 0 2 1
0438: 1 0 1
0439: 0 2 2
0440: 0 2 3
0441: 3 1 0
0442: 0 2 2
0443: 0 2 1
0444: 1 0 0
0445: 0 2 2
0446: 0 2 3
0447: 2 0 2
0448: 0 2 2
0449: 0 2 1
0450: 6 5 0
0451: 0 2 2
0452: 0 2 3
0453: 2 0 3
0454: 0 2 2
0455: 0 2 1
0456: 1 0 1
0457: 0 2 2
0458: 0 2 3
0459: 3 1 1
0460: 0 2 2
0461: 0 2 1
0462: 1 0 0
0463: 0 2 2
0464: 0 2 3
0465: 2 0 2
0466: 0 2 2
0467: 0 2 1
0468: 3 1 2
0469: 0 2 2
0470: 0 2 3
0471: 2 0 3
0472: 0 2 2
0473: 0 2 1
0474: 1 0 1
0475: 0 2 2
0476: 0 2 3
0477: 3 1 3
0478: 0 2 2
0479: 0 2 1
0480: 1 0 0
0481: 0 2 2
0482: 0 2 3
0483: 2 0 2
0484: 0 2 2
0485: 0 2 1
0486: 8 1 0
0487: 0 2 2
0488: 0 2 3
0489: 2 0 3
0490: 0 2 2
0491: 0 2 1
0492: 1 0 1
0493: 0 2 2
0494: 0 2 3
0495: 3 1 2
0496: 0 2 2
0497: 0 2 1
0498: 1 0 0
0499: 0 2 2
0500: 0 2 3
0501: 2 0 2
0502: 0 2 2
0503: 0 2 1
0504: 3 1 1
0505: 0 2 2
0506: 0 2 3
0507: 2 0 3
0508: 0 2 2
0509: 0 2 1
0510: 1 0 1
0511: 0 2 2
0512: 0 2 3
0513: 6 5 1
0514: 0 2 2
0515: 0 2 1
0516: 1 0 0
0517: 0 2 2
0518: 0 2 3
0519: 2 0 2
0520: 0 2 2
0521: 0 2 1
0522: 3 1 2
0523: 0 2 2
0524: 0 2 3
0525: 2 0 3
0526: 0 2 2
0527: 0 2 1
0528: 1 0 1
0529: 0 2 2
0530: 0 2 3
0531: 3 1 3
0532: 0 2 2
0533: 0 2 1
0534: 8 0 0
0535: 0 2 2
0536: 0 2 3
0537: 3 1 2
0538: 0 2 2
0539: 0 2 1
0540: 3 1 1
0541: 0 2 2
0542: 0 2 3
0543: 6 5 0
0544: 0 2 2
0545: 0 2 1
0546: 3 1 2
0547: 0 2 2
0548: 0 2 3
0549: 3 1 3
0550: 0 2 2
0551: 0 2 1
0552: 9 4 2
0553: 0 2 2
0554: 0 2 3
0555: 3 1 2
0556: 0 2 2
0557: 0 2 1
0558: 3 1 1
0559: 0 2 2
0560: 0 2 3
0561: 4 3 2
0562: 0 2 2
0563: 0 2 1
0564: 3 1 2
0565: 0 2 2
0566: 0 2 3
0567: 3 1 3
0568: 0 2 2
0569: 0 2 1
0570: 4 3 1
0571: 0 2 2
0572: 0 2 3
0573: 3 1 2
0574: 0 2 2
0575: 0 2 1
0576: 3 1 1
0577: 0 2 2
0578: 0 2 3
0579: 4 3 0
0580: 0 2 2
0581: 0 2 1
0582: 3 1 2
0583: 0 2 2
0584: 0 2 3
0585: 3 1 3
0586: 0 2 2
0587: 0 2 1
0588: 10 3 3
0589: 0 2 2
0590: 0 2 3
