Algorithm Performed: DFS
Time Elapsed: 0.53 sec
Expanded Nodes: 2078
Memory Usage at peak: 2.6429 MB
Solution Steps: 1974 steps

0001: 4 4 3
0002: 5 5 2
0003: 4 4 2
0004: 6 0 0
0005: 0 2 0
0006: 4 4 3
0007: 0 2 1
0008: 5 5 1
0009: 0 2 0
0010: 4 4 2
0011: 0 2 1
0012: 7 3 0
0013: 0 2 0
0014: 4 4 3
0015: 0 2 1
0016: 5 5 0
0017: 0 2 0
0018: 4 4 2
0019: 0 2 1
0020: 6 1 0
0021: 4 4 3
0022: 5 5 1
0023: 4 4 2
0024: 5 5 2
0025: 4 4 3
0026: 6 0 0
0027: 0 2 0
0028: 4 4 2
0029: 0 2 1
0030: 7 2 0
0031: 4 4 3
0032: 8 4 1
0033: 4 4 2
0034: 7 3 0
0035: 0 2 0
0036: 4 4 3
0037: 0 2 1
0038: 6 1 0
0039: 4 4 2
0040: 7 4 0
0041: 4 4 3
0042: 6 0 0
0043: 0 2 0
0044: 4 4 2
0045: 9 1 2
0046: 1 0 2
0047: 1 0 1
0048: 4 4 3
0049: 1 0 2
0050: 1 0 3
0051: 7 3 0
0052: 1 0 2
0053: 1 0 1
0054: 4 4 2
0055: 1 0 2
0056: 1 0 3
0057: 8 3 1
0058: 1 0 2
0059: 1 0 1
0060: 4 4 3
0061: 1 0 2
0062: 1 0 3
0063: 5 5 1
0064: 1 0 2
0065: 1 0 1
0066: 4 4 2
0067: 1 0 2
0068: 1 0 3
0069: 5 5 0
0070: 1 0 2
0071: 1 0 1
0072: 4 4 3
0073: 1 0 2
0074: 1 0 3
0075: 9 2 2
0076: 1 0 2
0077: 1 0 1
0078: 4 4 2
0079: 1 0 2
0080: 1 0 3
0081: 5 5 1
0082: 1 0 2
0083: 1 0 1
0084: 4 4 3
0085: 1 0 2
0086: 1 0 3
0087: 5 5 2
0088: 1 0 2
0089: 1 0 1
0090: 4 4 2
0091: 1 0 2
0092: 1 0 3
0093: 7 4 0
0094: 1 0 2
0095: 1 0 1
0096: 4 4 3
0097: 1 0 2
0098: 1 0 3
0099: 5 5 1
0100: 1 0 2
0101: 1 0 1
0102: 9 3 2
0103: 0 2 1
0104: 1 0 2
0105: 0 2 0
0106: 1 0 3
0107: 0 2 1
0108: 5 5 2
0109: 0 2 0
0110: 1 0 2
0111: 0 2 1
0112: 1 0 1
0113: 0 2 0
0114: 7 3 0
0115: 0 2 1
0116: 1 0 2
0117: 0 2 0
0118: 1 0 3
0119: 0 2 1
0120: 5 5 1
0121: 0 2 0
0122: 1 0 2
0123: 0 2 1
0124: 1 0 1
0125: 0 2 0
0126: 5 5 0
0127: 0 2 1
0128: 1 0 2
0129: 0 2 0
0130: 1 0 3
0131: 0 2 1
0132: 6 1 0
0133: 1 0 2
0134: 1 0 1
0135: 1 0 0
0136: 5 5 1
0137: 1 0 1
0138: 1 0 2
0139: 1 0 3
0140: 5 5 2
0141: 1 0 2
0142: 1 0 1
0143: 1 0 0
0144: 7 4 0
0145: 1 0 1
0146: 1 0 2
0147: 1 0 3
0148: 5 5 1
0149: 1 0 2
0150: 1 0 1
0151: 1 0 0
0152: 6 2 0
0153: 1 0 1
0154: 1 0 2
0155: 1 0 3
