Algorithm Performed: DFS
Time Elapsed: 0.01 sec
Expanded Nodes: 67
Memory Usage at peak: 90.3900 KB
Solution Steps: 64 steps

01: 2 5 1
02: 2 5 0
03: 3 1 0
04: 2 5 1
05: 2 5 2
06: 3 2 0
07: 2 5 1
08: 3 3 0
09: 0 2 0
10: 2 5 2
11: 4 2 2
12: 2 5 1
13: 4 1 2
14: 1 3 2
15: 1 3 1
16: 2 5 2
17: 1 3 2
18: 1 3 3
19: 4 0 2
20: 0 2 1
21: 1 3 2
22: 0 2 0
23: 1 3 1
24: 0 2 1
25: 2 5 1
26: 0 2 0
27: 1 3 2
28: 0 2 1
29: 1 3 3
30: 3 2 0
31: 1 3 2
32: 1 3 1
33: 2 5 0
34: 1 3 2
35: 1 3 3
36: 3 1 0
37: 1 3 2
38: 1 3 1
39: 2 5 1
40: 1 3 2
41: 1 3 3
42: 2 5 2
43: 1 3 2
44: 1 3 1
45: 3 0 0
46: 1 3 0
47: 2 5 1
48: 1 3 1
49: 1 3 2
50: 1 3 3
51: 2 5 0
52: 1 3 2
53: 1 3 1
54: 1 3 0
55: 5 1 3
56: 2 5 1
57: 2 5 2
58: 5 2 3
59: 2 5 1
60: 2 5 0
61: 5 3 3
62: 0 2 2
63: 0 2 3
64: 0 2 4
