Algorithm Performed: DFS
Time Elapsed: 0.14 sec
Expanded Nodes: 848
Memory Usage at peak: 1.0490 MB
Solution Steps: 811 steps

001: 1 0 1
002: 1 0 2
003: 1 0 3
004: 2 4 3
005: 1 0 2
006: 1 0 1
007: 1 0 0
008: 2 4 2
009: 1 0 1
010: 1 0 2
011: 1 0 3
012: 2 4 1
013: 1 0 2
014: 1 0 1
015: 1 0 0
016: 3 5 1
017: 1 0 1
018: 1 0 2
019: 1 0 3
020: 2 4 2
021: 1 0 2
022: 1 0 1
023: 1 0 0
024: 2 4 3
025: 1 0 1
026: 1 0 2
027: 1 0 3
028: 2 4 4
029: 1 0 2
030: 1 0 1
031: 1 0 0
032: 6 0 3
033: 1 0 1
034: 2 4 3
035: 1 0 0
036: 2 4 2
037: 1 0 1
038: 2 4 1
039: 1 0 0
040: 3 5 2
041: 1 0 1
042: 2 4 2
043: 1 0 0
044: 2 4 3
045: 1 0 1
046: 2 4 4
047: 1 0 0
048: 3 5 3
049: 1 0 1
050: 2 4 3
051: 1 0 0
052: 2 4 2
053: 1 0 1
054: 2 4 1
055: 1 0 0
056: 6 1 3
057: 1 0 1
058: 1 0 2
059: 1 0 3
060: 2 4 2
061: 1 0 2
062: 1 0 1
063: 1 0 0
064: 2 4 3
065: 1 0 1
066: 1 0 2
067: 1 0 3
068: 2 4 4
069: 1 0 2
070: 1 0 1
071: 1 0 0
072: 6 2 3
073: 1 0 1
074: 1 0 2
075: 1 0 3
076: 3 5 2
077: 1 0 2
078: 1 0 1
079: 1 0 0
080: 3 5 1
081: 1 0 1
082: 1 0 2
083: 1 0 3
084: 4 0 0
085: 1 0 2
086: 1 0 1
087: 3 5 2
088: 1 0 2
089: 1 0 3
090: 3 5 3
091: 1 0 2
092: 1 0 1
093: 5 3 0
094: 1 0 2
095: 1 0 3
096: 3 5 2
097: 1 0 2
098: 1 0 1
099: 3 5 1
100: 1 0 2
101: 1 0 3
102: 3 5 0
103: 1 0 2
104: 1 0 1
105: 6 1 3
106: 1 0 2
107: 1 0 3
108: 2 4 3
109: 1 0 2
110: 1 0 1
111: 2 4 2
112: 1 0 2
113: 1 0 3
114: 2 4 1
115: 1 0 2
116: 1 0 1
117: 3 5 1
118: 1 0 2
119: 1 0 3
120: 2 4 2
121: 1 0 2
122: 1 0 1
123: 2 4 3
124: 1 0 2
125: 1 0 3
126: 2 4 4
127: 1 0 2
128: 1 0 1
129: 3 5 2
130: 1 0 2
131: 1 0 3
132: 2 4 3
133: 1 0 2
134: 1 0 1
135: 2 4 2
136: 1 0 2
137: 1 0 3
138: 2 4 1
139: 1 0 2
140: 1 0 1
141: 3 5 3
142: 1 0 2
143: 1 0 3
144: 2 4 2
145: 1 0 2
146: 1 0 1
147: 2 4 3
148: 1 0 2
149: 1 0 3
150: 2 4 4
151: 1 0 2
152: 1 0 1
153: 5 4 0
154: 1 0 2
155: 1 0 3
156: 2 4 3
157: 1 0 2
158: 1 0 1
159: 2 4 2
160: 1 0 2
161: 1 0 3
162: 2 4 1
163: 1 0 2
164: 1 0 1
165: 3 5 2
166: 1 0 2
167: 1 0 3
168: 2 4 2
169: 1 0 2
170: 1 0 1
171: 2 4 3
172: 1 0 2
173: 1 0 3
174: 2 4 4
175: 1 0 2
176: 1 0 1
