Algorithm Performed: BFS
Time Elapsed: 0.58 sec
Expanded Nodes: 1170
Memory Usage at peak: 162.6710 KB
Solution Steps: 55 steps

01: 3 3 3
02: 2 3 1
03: 5 5 3
04: 4 5 1
05: 6 1 0
06: 6 2 0
07: 6 3 0
08: 0 2 0
09: 7 1 2
10: 1 0 2
11: 9 2 5
12: 5 5 4
13: 9 1 5
14: 9 0 5
15: 3 3 4
16: 8 2 3
17: 8 3 3
18: 8 4 3
19: 3 3 3
20: 9 1 5
21: 1 0 3
22: 7 0 2
23: 0 2 1
24: 0 2 2
25: 0 2 3
26: 6 2 0
27: 4 5 0
28: 6 1 0
29: 6 0 0
30: 2 3 0
31: 7 1 2
32: 1 0 2
33: 1 0 1
34: 7 2 2
35: 7 3 2
36: 0 2 2
37: 0 2 1
38: 7 4 2
39: 2 3 1
40: 6 1 0
41: 1 0 0
42: 9 0 5
43: 3 3 4
44: 8 3 3
45: 5 5 3
46: 8 2 3
47: 8 1 3
48: 3 3 3
49: 8 0 3
50: 0 2 2
51: 0 2 3
52: 9 1 5
53: 9 2 5
54: 9 3 5
55: 0 2 4
