Algorithm Performed: BFS
Time Elapsed: 0.08 sec
Expanded Nodes: 263
Memory Usage at peak: 57.6740 KB
Solution Steps: 49 steps

01: 2 3 2
02: 2 3 3
03: 4 2 0
04: 4 3 0
05: 0 2 0
06: 5 1 2
07: 1 0 1
08: 5 2 2
09: 5 3 2
10: 0 2 1
11: 4 2 0
12: 4 1 0
13: 4 0 0
14: 5 4 2
15: 2 3 2
16: 2 3 1
17: 2 3 0
18: 6 1 3
19: 1 0 2
20: 1 0 3
21: 1 0 4
22: 6 0 3
23: 2 3 1
24: 2 3 2
25: 2 3 3
26: 4 1 0
27: 4 2 0
28: 4 3 0
29: 0 2 0
30: 5 3 2
31: 3 5 2
32: 3 5 1
33: 5 2 2
34: 5 1 2
35: 2 3 2
36: 2 3 1
37: 5 0 2
38: 0 2 1
39: 4 2 0
40: 3 5 0
41: 4 1 0
42: 4 0 0
43: 2 3 0
44: 6 1 3
45: 6 2 3
46: 6 3 3
47: 0 2 2
48: 0 2 3
49: 0 2 4
