Algorithm Performed: BFS
Time Elapsed: 3.58 sec
Expanded Nodes: 4865
Memory Usage at peak: 532.2680 KB
Solution Steps: 49 steps

01: 1 0 2
02: 5 4 0
03: 2 3 0
04: 8 2 3
05: 8 3 3
06: 0 2 2
07: 6 1 1
08: 1 0 1
09: 1 0 0
10: 9 0 4
11: 10 1 5
12: 10 0 5
13: 11 3 5
14: 3 5 4
15: 8 4 3
16: 2 3 1
17: 2 3 2
18: 6 2 1
19: 6 3 1
20: 0 2 1
21: 6 4 1
22: 2 3 1
23: 2 3 0
24: 8 3 3
25: 3 5 3
26: 8 2 3
27: 8 1 3
28: 2 3 1
29: 2 3 2
30: 5 3 0
31: 6 3 1
32: 8 0 3
33: 0 2 2
34: 6 2 1
35: 6 1 1
36: 11 4 5
37: 2 3 3
38: 7 3 2
39: 3 5 2
40: 3 5 1
41: 3 5 0
42: 7 4 2
43: 2 3 2
44: 2 3 1
45: 9 1 4
46: 9 2 4
47: 9 3 4
48: 0 2 3
49: 0 2 4
