Algorithm Performed: BFS
Time Elapsed: 1.55 sec
Expanded Nodes: 2947
Memory Usage at peak: 468.8380 KB
Solution Steps: 49 steps

01: 5 5 1
02: 5 5 0
03: 8 4 3
04: 3 3 3
05: 9 1 5
06: 1 0 3
07: 6 0 2
08: 0 2 2
09: 0 2 1
10: 0 2 0
11: 6 1 2
12: 1 0 2
13: 9 0 5
14: 3 3 4
15: 8 3 3
16: 5 5 1
17: 5 5 2
18: 5 5 3
19: 7 4 2
20: 6 2 2
21: 2 1 2
22: 2 1 1
23: 2 1 0
24: 6 1 2
25: 8 2 3
26: 4 4 3
27: 8 1 3
28: 3 3 3
29: 3 3 2
30: 3 3 1
31: 3 3 0
32: 7 3 2
33: 5 5 2
34: 8 2 3
35: 9 1 5
36: 1 0 3
37: 6 0 2
38: 7 2 2
39: 4 4 2
40: 4 4 1
41: 4 4 0
42: 7 3 2
43: 0 2 1
44: 8 3 3
45: 0 2 2
46: 0 2 3
47: 9 2 5
48: 9 3 5
49: 0 2 4
